message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2802135,0.005148136,168,1583017200,278.06,270.26,994,80,277.59,278.71,8.7,200,20,801,Clouds,few clouds,02n
Count: 168,200,2802135,0.005148136,168,1583020800,278.08,270.63,995,80,277.59,278.71,8.2,210,81,803,Clouds,broken clouds,04n
Count: 168,200,2802135,0.005148136,168,1583024400,278.22,270.02,995,80,277.59,278.71,9.3,210,49,802,Clouds,scattered clouds,03n
Count: 168,200,2802135,0.005148136,168,1583028000,278.18,269.28,994,80,277.59,278.71,10.3,210,94,804,Clouds,overcast clouds,04n
Count: 168,200,2802135,0.005148136,168,1583031600,278.4,269.38,994,75,277.59,279.15,10.3,210,94,804,Clouds,overcast clouds,04n
Count: 168,200,2802135,0.005148136,168,1583035200,278.58,270.29,994,75,277.59,279.26,9.3,210,94,804,Clouds,overcast clouds,04n
Count: 168,200,2802135,0.005148136,168,1583038800,278.72,269.75,994,75,278.15,279.26,10.3,220,97,500,Rain,light rain,10n
Count: 168,200,2802135,0.005148136,168,1583042400,278.58,270.71,994,75,277.59,279.26,8.7,210,97,500,Rain,light rain,10n
Count: 168,200,2802135,0.005148136,168,1583046000,278.52,271.34,994,75,278.15,279.26,7.7,220,97,500,Rain,light rain,10d
Count: 168,200,2802135,0.005148136,168,1583049600,278.79,271.11,994,80,278.15,279.26,8.7,210,100,500,Rain,light rain,10d
Count: 168,200,2802135,0.005148136,168,1583053200,279.35,270.48,995,75,278.71,279.82,10.3,210,100,500,Rain,light rain,10d
Count: 168,200,2802135,0.005148136,168,1583056800,280.46,271.26,995,70,279.82,280.93,10.8,220,100,500,Rain,light rain,10d
Count: 168,200,2802135,0.005148136,168,1583060400,281.25,272.88,994,70,280.15,282.59,9.8,220,91,804,Clouds,overcast clouds,04d
Count: 168,200,2802135,0.005148136,168,1583064000,281.53,273.03,994,65,280.93,282.15,9.8,220,92,804,Clouds,overcast clouds,04d
Count: 168,200,2802135,0.005148136,168,1583067600,281.89,273.65,994,61,281.15,282.59,9.3,220,72,803,Clouds,broken clouds,04d
Count: 168,200,2802135,0.005148136,168,1583071200,281.99,275.07,993,66,281.15,282.59,7.7,210,100,804,Clouds,overcast clouds,04d
Count: 168,200,2802135,0.005148136,168,1583074800,282.02,275.8,992,66,281.48,282.59,6.7,220,100,804,Clouds,overcast clouds,04d
Count: 168,200,2802135,0.005148136,168,1583078400,281.27,277.24,992,70,280.93,281.48,3.6,220,100,804,Clouds,overcast clouds,04d
Count: 168,200,2802135,0.005148136,168,1583082000,280.54,276.74,991,70,279.82,281.15,3.1,210,100,500,Rain,light rain,10d
Count: 168,200,2802135,0.005148136,168,1583085600,279.67,276.44,992,70,278.15,280.37,2.1,240,100,500,Rain,light rain,10n
Count: 168,200,2802135,0.005148136,168,1583089200,279.1,275.77,992,81,277.59,279.82,2.6,250,100,500,Rain,light rain,10n
Count: 168,200,2802135,0.005148136,168,1583092800,278.81,274.73,993,81,277.59,279.26,3.6,230,67,803,Clouds,broken clouds,04n
Count: 168,200,2802135,0.005148136,168,1583096400,278.5,273.81,993,86,278.15,279.26,4.6,220,67,803,Clouds,broken clouds,04n
Count: 168,200,2802135,0.005148136,168,1583100000,278.2,272.2,994,81,277.04,279.15,6.2,220,67,803,Clouds,broken clouds,04n
Count: 168,200,2802135,0.005148136,168,1583103600,277.44,271.1,994,86,276.48,278.15,6.7,200,42,802,Clouds,scattered clouds,03n
Count: 168,200,2802135,0.005148136,168,1583107200,277.21,270.67,994,93,276.15,278.15,7.2,200,42,802,Clouds,scattered clouds,03n
Count: 168,200,2802135,0.005148136,168,1583110800,277.27,270.21,993,86,276.15,278.15,7.7,200,38,802,Clouds,scattered clouds,03n
Count: 168,200,2802135,0.005148136,168,1583114400,277.75,271.66,992,93,277.04,278.71,6.7,180,100,500,Rain,light rain,10n
Count: 168,200,2802135,0.005148136,168,1583118000,278.04,272.92,991,86,277.59,278.71,5.1,170,100,500,Rain,light rain,10n
Count: 168,200,2802135,0.005148136,168,1583121600,278.19,272.33,989,86,277.59,278.71,6.2,170,100,500,Rain,light rain,10n
Count: 168,200,2802135,0.005148136,168,1583125200,278.51,272.39,989,87,278.15,279.26,6.7,170,100,500,Rain,light rain,10n
Count: 168,200,2802135,0.005148136,168,1583128800,278.64,273.24,988,87,278.15,279.26,5.7,180,100,500,Rain,light rain,10n
Count: 168,200,2802135,0.005148136,168,1583132400,278.68,273.29,988,87,278.15,279.26,5.7,180,100,500,Rain,light rain,10d
Count: 168,200,2802135,0.005148136,168,1583136000,278.94,273.43,988,93,278.71,279.26,6.2,180,100,300,Drizzle,light intensity drizzle,09d
Count: 168,200,2802135,0.005148136,168,1583139600,279.44,274.02,987,93,279.15,279.82,6.2,180,100,500,Rain,light rain,10d
Count: 168,200,2802135,0.005148136,168,1583143200,280.15,274.68,987,87,279.82,280.93,6.2,180,100,500,Rain,light rain,10d
