message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2785341,0.004876866,168,1583017200,278.09,270.29,994,80,277.59,278.71,8.7,200,20,801,Clouds,few clouds,02n
Count: 168,200,2785341,0.004876866,168,1583020800,278.04,269.81,994,80,277.04,278.71,9.3,200,75,803,Clouds,broken clouds,04n
Count: 168,200,2785341,0.004876866,168,1583024400,278.24,269.9,994,75,277.59,278.71,9.3,200,49,802,Clouds,scattered clouds,03n
Count: 168,200,2785341,0.004876866,168,1583028000,278.25,270.83,994,80,277.59,278.71,8.2,200,75,803,Clouds,broken clouds,04n
Count: 168,200,2785341,0.004876866,168,1583031600,278.03,270.57,993,80,276.48,279.15,8.2,200,75,803,Clouds,broken clouds,04n
Count: 168,200,2785341,0.004876866,168,1583035200,278.16,269.46,993,75,276.48,279.26,9.8,200,75,803,Clouds,broken clouds,04n
Count: 168,200,2785341,0.004876866,168,1583038800,278.46,270.15,993,75,277.59,279.26,9.3,210,97,500,Rain,light rain,10n
Count: 168,200,2785341,0.004876866,168,1583042400,278.31,270.4,993,75,277.59,279.26,8.7,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2785341,0.004876866,168,1583046000,278.27,271.9,993,80,277.04,279.26,6.7,200,75,803,Clouds,broken clouds,04d
Count: 168,200,2785341,0.004876866,168,1583049600,278.61,270.33,994,75,277.59,279.26,9.3,200,75,803,Clouds,broken clouds,04d
Count: 168,200,2785341,0.004876866,168,1583053200,279.13,270.58,994,75,278.15,279.82,9.8,200,75,803,Clouds,broken clouds,04d
Count: 168,200,2785341,0.004876866,168,1583056800,280.47,272.74,994,70,279.82,280.93,8.7,200,90,804,Clouds,overcast clouds,04d
Count: 168,200,2785341,0.004876866,168,1583060400,281.29,272.93,994,70,280.37,282.04,9.8,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2785341,0.004876866,168,1583064000,281.52,273.22,993,61,280.37,282.59,9.3,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2785341,0.004876866,168,1583067600,281.88,274.06,993,61,280.93,282.59,8.7,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2785341,0.004876866,168,1583071200,281.49,274.31,992,61,279.26,283.71,7.7,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2785341,0.004876866,168,1583074800,281.9,276.01,992,66,280.37,282.59,6.2,190,75,803,Clouds,broken clouds,04d
Count: 168,200,2785341,0.004876866,168,1583078400,281.12,276.54,991,65,280.37,282.04,4.1,200,100,804,Clouds,overcast clouds,04d
Count: 168,200,2785341,0.004876866,168,1583082000,280.48,277.05,991,81,279.82,281.15,3.1,230,75,500,Rain,light rain,10d
Count: 168,200,2785341,0.004876866,168,1583085600,279.73,276.35,991,87,278.71,280.37,3.1,210,100,500,Rain,light rain,10n
Count: 168,200,2785341,0.004876866,168,1583089200,279.15,274.61,992,87,277.59,280.37,4.6,230,100,500,Rain,light rain,10n
Count: 168,200,2785341,0.004876866,168,1583092800,278.68,274.23,992,81,277.59,279.26,4.1,220,67,803,Clouds,broken clouds,04n
Count: 168,200,2785341,0.004876866,168,1583096400,278.27,273.19,993,86,277.04,279.26,5.1,210,67,803,Clouds,broken clouds,04n
Count: 168,200,2785341,0.004876866,168,1583100000,278.12,273.72,993,86,277.04,279.15,4.1,190,20,801,Clouds,few clouds,02n
Count: 168,200,2785341,0.004876866,168,1583103600,277.45,272.23,993,86,276.48,278.15,5.1,180,20,801,Clouds,few clouds,02n
Count: 168,200,2785341,0.004876866,168,1583107200,277.35,270.84,992,80,276.48,278.15,6.7,180,42,802,Clouds,scattered clouds,03n
Count: 168,200,2785341,0.004876866,168,1583110800,277.47,272.26,992,86,276.48,278.15,5.1,170,90,804,Clouds,overcast clouds,04n
Count: 168,200,2785341,0.004876866,168,1583114400,277.8,271.52,991,86,277.04,278.71,6.7,170,75,803,Clouds,broken clouds,04n
Count: 168,200,2785341,0.004876866,168,1583118000,277.92,272.36,989,86,277.04,278.71,5.7,160,75,500,Rain,light rain,10n
Count: 168,200,2785341,0.004876866,168,1583121600,278.18,271.82,988,93,277.59,278.71,7.2,160,90,500,Rain,light rain,10n
Count: 168,200,2785341,0.004876866,168,1583125200,278.47,272.34,989,87,277.59,279.26,6.7,170,100,500,Rain,light rain,10n
Count: 168,200,2785341,0.004876866,168,1583128800,278.65,272.38,987,93,277.59,279.26,7.2,170,90,804,Clouds,overcast clouds,04n
Count: 168,200,2785341,0.004876866,168,1583132400,278.82,274.05,987,93,278.15,279.82,5.1,160,100,500,Rain,light rain,10d
Count: 168,200,2785341,0.004876866,168,1583136000,279.03,274.3,987,93,278.71,279.82,5.1,160,90,300,Drizzle,light intensity drizzle,09d
Count: 168,200,2785341,0.004876866,168,1583139600,279.42,275.34,987,100,279.15,279.82,4.6,160,90,500,Rain,light rain,10d
Count: 168,200,2785341,0.004876866,168,1583143200,280.07,276.25,986,93,279.26,280.93,4.1,170,75,500,Rain,light rain,10d
Count: 168,200,2785341,0.004876866,168,1583146800,280.48,277.45,987,93,279.82,281.15,3.1,180,75,803,Clouds,broken clouds,04d
Count: 168,200,2785341,0.004876866,168,1583150400,280.73,276.5,987,87,279.82,281.48,4.6,250,100,500,Rain,light rain,10d
Count: 168,200,2785341,0.004876866,168,1583154000,280.99,277.16,987,87,280.37,281.48,4.1,260,75,500,Rain,light rain,10d
Count: 168,200,2785341,0.004876866,168,1583157600,281.11,277.66,988,87,280.37,282.04,3.6,280,90,804,Clouds,overcast clouds,04d
Count: 168,200,2785341,0.004876866,168,1583161200,280.8,276.93,988,87,280.15,281.48,4.1,270,100,500,Rain,light rain,10d
Count: 168,200,2785341,0.004876866,168,1583164800,280.13,274.51,990,93,279.82,280.93,6.7,310,100,500,Rain,light rain,10d
Count: 168,200,2785341,0.004876866,168,1583168400,279.9,272.44,992,81,279.26,280.37,8.7,310,100,500,Rain,light rain,10d
Count: 168,200,2785341,0.004876866,168,1583172000,278.98,274.94,992,93,278.15,279.82,4.1,310,100,500,Rain,light rain,10n
Count: 168,200,2785341,0.004876866,168,1583175600,278.2,274.16,995,86,277.04,279.15,3.6,290,100,500,Rain,light rain,10n
Count: 168,200,2785341,0.004876866,168,1583179200,277.5,274.04,995,86,276.48,278.71,2.6,230,20,801,Clouds,few clouds,02n
Count: 168,200,2785341,0.004876866,168,1583182800,276.94,273.93,996,93,275.93,278.15,2.1,220,67,803,Clouds,broken clouds,04n
Count: 168,200,2785341,0.004876866,168,1583186400,276.5,272.18,997,86,275.37,277.59,3.6,250,67,803,Clouds,broken clouds,04n
Count: 168,200,2785341,0.004876866,168,1583190000,276.47,271.64,998,80,275.37,277.59,4.1,250,34,802,Clouds,scattered clouds,03n
Count: 168,200,2785341,0.004876866,168,1583193600,276.1,272.07,999,86,274.82,277.15,3.1,260,34,802,Clouds,scattered clouds,03n
Count: 168,200,2785341,0.004876866,168,1583197200,275.53,270.67,999,84,274.26,276.48,4.1,230,32,802,Clouds,scattered clouds,03n
Count: 168,200,2785341,0.004876866,168,1583200800,275.27,270.28,1000,80,274.26,276.15,4.1,210,0,800,Clear,clear sky,01n
Count: 168,200,2785341,0.004876866,168,1583204400,275.07,269.93,1000,90,274.26,275.93,4.6,210,20,801,Clouds,few clouds,02n
Count: 168,200,2785341,0.004876866,168,1583208000,274.7,269.93,1000,93,273.71,275.37,4.1,190,75,803,Clouds,broken clouds,04n
Count: 168,200,2785341,0.004876866,168,1583211600,274.65,270.2,1001,92,273.71,275.37,3.6,190,0,800,Clear,clear sky,01n
Count: 168,200,2785341,0.004876866,168,1583215200,274.46,270.33,1001,92,273.71,275.37,3.1,170,0,800,Clear,clear sky,01n
Count: 168,200,2785341,0.004876866,168,1583218800,274.75,270.31,1001,92,274.15,275.37,3.6,180,20,801,Clouds,few clouds,02d
Count: 168,200,2785341,0.004876866,168,1583222400,275.77,270.81,1001,93,274.82,276.48,4.6,190,20,801,Clouds,few clouds,02d
Count: 168,200,2785341,0.004876866,168,1583226000,277.41,272.19,1002,86,275.93,278.71,5.1,200,75,803,Clouds,broken clouds,04d
Count: 168,200,2785341,0.004876866,168,1583229600,278.96,274.17,1002,80,277.04,280.37,4.6,200,20,801,Clouds,few clouds,02d
Count: 168,200,2785341,0.004876866,168,1583233200,279.95,274.05,1002,75,278.15,282.04,6.2,230,75,803,Clouds,broken clouds,04d
Count: 168,200,2785341,0.004876866,168,1583236800,280.45,275.41,1002,75,278.71,281.48,5.1,220,69,500,Rain,light rain,10d
Count: 168,200,2785341,0.004876866,168,1583240400,280.6,275.58,1002,75,278.71,282.59,5.1,240,75,803,Clouds,broken clouds,04d
Count: 168,200,2785341,0.004876866,168,1583244000,280.8,276.38,1003,81,278.71,282.59,4.6,200,100,500,Rain,light rain,10d
Count: 168,200,2785341,0.004876866,168,1583247600,280.8,274.88,1003,70,277.59,282.59,6.2,260,75,803,Clouds,broken clouds,04d
Count: 168,200,2785341,0.004876866,168,1583251200,281.05,275.94,1004,70,278.15,282.59,5.1,260,95,500,Rain,light rain,10d
Count: 168,200,2785341,0.004876866,168,1583254800,279.84,275.58,1004,70,277.59,282.04,3.6,250,75,803,Clouds,broken clouds,04d
Count: 168,200,2785341,0.004876866,168,1583258400,278.71,273.93,1005,70,276.48,280.93,4.1,240,75,803,Clouds,broken clouds,04n
Count: 168,200,2785341,0.004876866,168,1583262000,278.05,273.32,1006,75,276.48,280.37,4.1,230,73,500,Rain,light rain,10n
Count: 168,200,2785341,0.004876866,168,1583265600,278.17,273.98,1007,81,276.48,279.82,3.6,230,75,803,Clouds,broken clouds,04n
Count: 168,200,2785341,0.004876866,168,1583269200,278.33,274.52,1008,81,277.04,279.82,3.1,230,61,803,Clouds,broken clouds,04n
Count: 168,200,2785341,0.004876866,168,1583272800,277.99,274.47,1008,81,276.48,279.26,2.6,230,75,803,Clouds,broken clouds,04n
Count: 168,200,2785341,0.004876866,168,1583276400,277.87,274.32,1009,93,276.48,279.26,3.1,260,20,801,Clouds,few clouds,02n
Count: 168,200,2785341,0.004876866,168,1583280000,277.82,274.26,1009,93,276.48,279.26,3.1,240,20,801,Clouds,few clouds,02n
Count: 168,200,2785341,0.004876866,168,1583283600,277.37,274.08,1010,93,275.93,278.71,2.6,240,54,803,Clouds,broken clouds,04n
Count: 168,200,2785341,0.004876866,168,1583287200,276.77,273.73,1011,93,274.82,278.71,2.1,230,0,800,Clear,clear sky,01n
Count: 168,200,2785341,0.004876866,168,1583290800,276.33,273.98,1011,93,275.37,277.59,1.0,160,0,800,Clear,clear sky,01n
Count: 168,200,2785341,0.004876866,168,1583294400,275.95,273.19,1011,93,274.82,277.04,1.5,250,75,803,Clouds,broken clouds,04n
Count: 168,200,2785341,0.004876866,168,1583298000,275.83,273.4,1011,93,274.82,277.15,1.0,0,43,802,Clouds,scattered clouds,03n
Count: 168,200,2785341,0.004876866,168,1583301600,275.68,272.46,1011,93,274.26,277.15,2.1,210,43,802,Clouds,scattered clouds,03n
Count: 168,200,2785341,0.004876866,168,1583305200,275.96,272.06,1011,93,274.82,277.04,3.13,207,43,701,Mist,mist,50d
Count: 168,200,2785341,0.004876866,168,1583308800,276.84,273.99,1011,100,276.15,277.59,2.1,170,100,804,Clouds,overcast clouds,04d
