message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2803010,0.006442368,168,1583017200,278.14,270.35,994,80,277.59,278.71,8.7,200,20,801,Clouds,few clouds,02n
Count: 168,200,2803010,0.006442368,168,1583020800,278.2,270.77,995,80,277.59,279.26,8.2,210,65,803,Clouds,broken clouds,04n
Count: 168,200,2803010,0.006442368,168,1583024400,278.33,270.15,995,80,277.59,279.26,9.3,210,67,803,Clouds,broken clouds,04n
Count: 168,200,2803010,0.006442368,168,1583028000,278.31,269.43,994,80,277.59,279.26,10.3,210,96,804,Clouds,overcast clouds,04n
Count: 168,200,2803010,0.006442368,168,1583031600,278.64,269.66,994,75,277.59,279.82,10.3,210,96,804,Clouds,overcast clouds,04n
Count: 168,200,2803010,0.006442368,168,1583035200,278.75,270.49,994,75,277.59,279.82,9.3,210,96,804,Clouds,overcast clouds,04n
Count: 168,200,2803010,0.006442368,168,1583038800,278.8,269.85,994,75,277.59,279.82,10.3,220,99,500,Rain,light rain,10n
Count: 168,200,2803010,0.006442368,168,1583042400,278.77,270.93,994,75,277.59,279.82,8.7,210,99,500,Rain,light rain,10n
Count: 168,200,2803010,0.006442368,168,1583046000,278.71,271.56,994,75,277.59,279.82,7.7,220,99,500,Rain,light rain,10d
Count: 168,200,2803010,0.006442368,168,1583049600,278.99,271.34,994,80,278.15,279.82,8.7,210,100,500,Rain,light rain,10d
Count: 168,200,2803010,0.006442368,168,1583053200,279.53,270.69,995,75,278.71,280.37,10.3,210,100,500,Rain,light rain,10d
Count: 168,200,2803010,0.006442368,168,1583056800,280.55,271.37,995,70,279.82,280.93,10.8,220,100,500,Rain,light rain,10d
Count: 168,200,2803010,0.006442368,168,1583060400,281.41,273.07,994,70,280.15,282.59,9.8,220,87,804,Clouds,overcast clouds,04d
Count: 168,200,2803010,0.006442368,168,1583064000,281.66,273.18,994,65,280.93,282.59,9.8,220,84,500,Rain,light rain,10d
Count: 168,200,2803010,0.006442368,168,1583067600,281.95,273.72,994,61,281.15,282.59,9.3,220,65,803,Clouds,broken clouds,04d
Count: 168,200,2803010,0.006442368,168,1583071200,282.27,275.4,993,66,281.15,283.71,7.7,210,100,804,Clouds,overcast clouds,04d
Count: 168,200,2803010,0.006442368,168,1583074800,282.07,275.86,992,66,281.15,283.15,6.7,220,100,804,Clouds,overcast clouds,04d
Count: 168,200,2803010,0.006442368,168,1583078400,281.42,277.42,992,70,280.37,282.59,3.6,220,100,804,Clouds,overcast clouds,04d
