message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2792567,0.007020663,168,1583017200,278.24,270.46,994,80,277.59,279.26,8.7,200,20,801,Clouds,few clouds,02n
Count: 168,200,2792567,0.007020663,168,1583020800,278.34,270.93,995,80,277.59,279.26,8.2,210,65,803,Clouds,broken clouds,04n
Count: 168,200,2792567,0.007020663,168,1583024400,278.46,270.3,995,80,277.59,279.26,9.3,210,67,803,Clouds,broken clouds,04n
Count: 168,200,2792567,0.007020663,168,1583028000,278.48,269.62,994,80,277.59,279.26,10.3,210,96,804,Clouds,overcast clouds,04n
Count: 168,200,2792567,0.007020663,168,1583031600,278.71,269.74,994,75,277.59,279.82,10.3,210,96,804,Clouds,overcast clouds,04n
Count: 168,200,2792567,0.007020663,168,1583035200,278.86,270.62,994,75,277.59,279.82,9.3,210,96,804,Clouds,overcast clouds,04n
Count: 168,200,2792567,0.007020663,168,1583038800,278.91,269.97,994,75,277.59,280.37,10.3,220,99,500,Rain,light rain,10n
Count: 168,200,2792567,0.007020663,168,1583042400,278.88,271.06,994,75,277.59,280.15,8.7,210,99,500,Rain,light rain,10n
Count: 168,200,2792567,0.007020663,168,1583046000,278.83,271.7,994,75,277.59,279.82,7.7,220,99,500,Rain,light rain,10d
Count: 168,200,2792567,0.007020663,168,1583049600,279.14,271.51,994,80,278.15,280.37,8.7,210,100,500,Rain,light rain,10d
Count: 168,200,2792567,0.007020663,168,1583053200,279.67,270.86,995,75,278.71,280.93,10.3,210,100,500,Rain,light rain,10d
Count: 168,200,2792567,0.007020663,168,1583056800,280.53,271.34,995,70,279.82,280.93,10.8,220,100,500,Rain,light rain,10d
Count: 168,200,2792567,0.007020663,168,1583060400,281.53,273.21,994,70,280.37,282.59,9.8,220,84,500,Rain,light rain,10d
Count: 168,200,2792567,0.007020663,168,1583064000,281.87,273.42,994,65,280.93,283.15,9.8,220,84,500,Rain,light rain,10d
Count: 168,200,2792567,0.007020663,168,1583067600,282.13,273.92,994,61,281.15,283.15,9.3,220,65,803,Clouds,broken clouds,04d
Count: 168,200,2792567,0.007020663,168,1583071200,282.35,275.49,993,66,281.15,283.71,7.7,210,100,804,Clouds,overcast clouds,04d
Count: 168,200,2792567,0.007020663,168,1583074800,282.19,276.0,992,66,281.15,283.15,6.7,220,100,804,Clouds,overcast clouds,04d
Count: 168,200,2792567,0.007020663,168,1583078400,281.61,277.64,992,70,280.37,282.59,3.6,220,100,804,Clouds,overcast clouds,04d
Count: 168,200,2792567,0.007020663,168,1583082000,280.96,277.23,991,70,279.82,282.15,3.1,210,100,500,Rain,light rain,10d
Count: 168,200,2792567,0.007020663,168,1583085600,280.28,277.14,992,70,279.15,281.48,2.1,240,100,500,Rain,light rain,10n
Count: 168,200,2792567,0.007020663,168,1583089200,279.66,276.43,992,81,278.15,281.15,2.6,250,100,500,Rain,light rain,10n
Count: 168,200,2792567,0.007020663,168,1583092800,279.29,275.29,993,81,277.59,280.93,3.6,230,100,804,Clouds,overcast clouds,04n
Count: 168,200,2792567,0.007020663,168,1583096400,278.92,274.31,993,86,277.59,280.37,4.6,220,100,804,Clouds,overcast clouds,04n
Count: 168,200,2792567,0.007020663,168,1583100000,278.55,272.6,994,81,277.59,279.82,6.2,220,100,804,Clouds,overcast clouds,04n
Count: 168,200,2792567,0.007020663,168,1583103600,278.05,271.82,994,86,277.04,279.26,6.7,200,52,803,Clouds,broken clouds,04n
Count: 168,200,2792567,0.007020663,168,1583107200,277.66,271.2,994,93,276.48,279.15,7.2,200,52,803,Clouds,broken clouds,04n
Count: 168,200,2792567,0.007020663,168,1583110800,277.57,270.55,993,86,276.48,278.71,7.7,200,50,802,Clouds,scattered clouds,03n
Count: 168,200,2792567,0.007020663,168,1583114400,277.62,271.51,992,93,277.04,278.15,6.7,180,100,804,Clouds,overcast clouds,04n
Count: 168,200,2792567,0.007020663,168,1583118000,277.87,272.73,991,86,277.04,278.71,5.1,170,100,804,Clouds,overcast clouds,04n
Count: 168,200,2792567,0.007020663,168,1583121600,278.24,272.39,989,86,277.59,278.71,6.2,170,100,804,Clouds,overcast clouds,04n
Count: 168,200,2792567,0.007020663,168,1583125200,278.5,272.37,989,87,277.59,279.26,6.7,170,100,500,Rain,light rain,10n
Count: 168,200,2792567,0.007020663,168,1583128800,278.66,273.26,988,87,278.15,279.26,5.7,180,100,500,Rain,light rain,10n
Count: 168,200,2792567,0.007020663,168,1583132400,278.73,273.34,988,87,278.15,279.26,5.7,180,100,500,Rain,light rain,10d
Count: 168,200,2792567,0.007020663,168,1583136000,279.13,273.65,988,93,278.71,279.82,6.2,180,100,300,Drizzle,light intensity drizzle,09d
Count: 168,200,2792567,0.007020663,168,1583139600,279.58,274.19,987,93,278.71,280.37,6.2,180,100,500,Rain,light rain,10d
Count: 168,200,2792567,0.007020663,168,1583143200,280.33,274.9,987,87,279.82,280.93,6.2,180,100,500,Rain,light rain,10d
Count: 168,200,2792567,0.007020663,168,1583146800,280.63,275.81,987,93,279.82,281.48,5.7,200,100,500,Rain,light rain,10d
Count: 168,200,2792567,0.007020663,168,1583150400,280.89,276.9,987,93,280.15,281.48,4.6,200,100,500,Rain,light rain,10d
Count: 168,200,2792567,0.007020663,168,1583154000,281.16,277.72,987,87,280.37,282.04,3.6,220,100,500,Rain,light rain,10d
Count: 168,200,2792567,0.007020663,168,1583157600,281.07,277.96,987,87,280.15,282.04,3.1,270,100,500,Rain,light rain,10d
Count: 168,200,2792567,0.007020663,168,1583161200,280.91,277.97,988,93,280.15,281.48,3.1,290,100,500,Rain,light rain,10d
Count: 168,200,2792567,0.007020663,168,1583164800,280.47,276.89,989,87,279.82,281.48,3.6,270,100,500,Rain,light rain,10d
Count: 168,200,2792567,0.007020663,168,1583168400,280.03,272.59,992,81,279.15,280.93,8.7,310,100,500,Rain,light rain,10d
Count: 168,200,2792567,0.007020663,168,1583172000,279.44,275.49,992,93,278.71,280.37,4.1,310,100,500,Rain,light rain,10n
Count: 168,200,2792567,0.007020663,168,1583175600,278.79,273.84,994,87,277.59,280.15,5.1,300,100,500,Rain,light rain,10n
Count: 168,200,2792567,0.007020663,168,1583179200,278.12,274.27,995,93,276.48,279.26,3.6,290,100,500,Rain,light rain,10n
Count: 168,200,2792567,0.007020663,168,1583182800,277.59,273.99,996,93,275.93,279.15,3.1,260,100,500,Rain,light rain,10n
Count: 168,200,2792567,0.007020663,168,1583186400,276.99,273.64,997,93,275.37,278.15,2.6,240,100,500,Rain,light rain,10n
Count: 168,200,2792567,0.007020663,168,1583190000,276.6,272.65,998,86,275.37,277.59,3.1,230,69,803,Clouds,broken clouds,04n
Count: 168,200,2792567,0.007020663,168,1583193600,276.44,272.11,999,86,274.82,277.59,3.6,230,69,803,Clouds,broken clouds,04n
Count: 168,200,2792567,0.007020663,168,1583197200,276.11,272.08,999,86,274.82,277.59,3.1,240,67,803,Clouds,broken clouds,04n
Count: 168,200,2792567,0.007020663,168,1583200800,275.75,271.09,1000,91,274.82,277.04,4.1,230,0,800,Clear,clear sky,01n
Count: 168,200,2792567,0.007020663,168,1583204400,275.33,270.25,1000,91,274.26,276.48,4.6,230,0,800,Clear,clear sky,01n
Count: 168,200,2792567,0.007020663,168,1583208000,275.11,270.35,1001,91,274.26,276.15,4.1,220,0,800,Clear,clear sky,01n
Count: 168,200,2792567,0.007020663,168,1583211600,274.74,270.32,1001,93,273.71,275.37,3.6,200,0,800,Clear,clear sky,01n
Count: 168,200,2792567,0.007020663,168,1583215200,274.62,269.48,1001,93,273.71,275.37,4.6,210,0,800,Clear,clear sky,01n
Count: 168,200,2792567,0.007020663,168,1583218800,274.79,269.68,1002,93,273.71,275.93,4.6,210,0,800,Clear,clear sky,01d
Count: 168,200,2792567,0.007020663,168,1583222400,276.14,270.89,1002,93,275.15,277.04,5.1,210,0,800,Clear,clear sky,01d
