message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2794210,0.03237574,168,1583017200,278.22,267.5,991,80,277.59,279.15,12.9,210,68,301,Drizzle,drizzle,09n
Count: 168,200,2794210,0.03237574,168,1583020800,278.48,266.96,991,75,278.15,279.26,13.9,210,68,500,Rain,light rain,10n
Count: 168,200,2794210,0.03237574,168,1583024400,278.51,265.94,991,75,277.59,279.26,15.4,200,65,500,Rain,light rain,10n
Count: 168,200,2794210,0.03237574,168,1583028000,278.43,266.9,991,75,277.59,279.15,13.9,200,100,500,Rain,light rain,10n
Count: 168,200,2794210,0.03237574,168,1583031600,278.35,266.81,990,75,277.04,279.82,13.9,210,100,501,Rain,moderate rain,10n
Count: 168,200,2794210,0.03237574,168,1583035200,277.67,268.15,991,86,276.48,278.71,11.3,220,100,300,Drizzle,light intensity drizzle,09n
Count: 168,200,2794210,0.03237574,168,1583038800,277.97,266.68,991,86,277.04,278.71,13.9,210,100,500,Rain,light rain,10n
Count: 168,200,2794210,0.03237574,168,1583042400,278.03,267.87,990,86,277.15,278.71,12.3,200,100,500,Rain,light rain,10n
Count: 168,200,2794210,0.03237574,168,1583046000,278.09,267.8,991,81,277.04,279.15,12.3,210,100,500,Rain,light rain,10d
Count: 168,200,2794210,0.03237574,168,1583049600,278.22,267.68,991,86,277.59,278.71,12.9,210,100,500,Rain,light rain,10d
Count: 168,200,2794210,0.03237574,168,1583053200,278.92,268.0,992,81,278.15,279.82,13.4,210,100,500,Rain,light rain,10d
Count: 168,200,2794210,0.03237574,168,1583056800,279.83,271.08,991,87,278.71,280.93,10.8,200,100,501,Rain,moderate rain,10d
Count: 168,200,2794210,0.03237574,168,1583060400,280.78,272.92,993,87,279.15,282.04,9.8,210,20,500,Rain,light rain,10d
Count: 168,200,2794210,0.03237574,168,1583064000,281.38,271.04,992,75,279.82,282.59,12.9,210,100,500,Rain,light rain,10d
Count: 168,200,2794210,0.03237574,168,1583067600,280.53,270.04,992,75,278.15,282.59,12.9,210,94,501,Rain,moderate rain,10d
Count: 168,200,2794210,0.03237574,168,1583071200,280.29,272.33,991,87,278.15,283.15,9.8,240,100,500,Rain,light rain,10d
Count: 168,200,2794210,0.03237574,168,1583074800,280.54,272.63,991,87,279.15,282.59,9.8,240,100,500,Rain,light rain,10d
Count: 168,200,2794210,0.03237574,168,1583078400,280.63,274.35,990,81,279.82,282.04,7.2,220,100,500,Rain,light rain,10d
Count: 168,200,2794210,0.03237574,168,1583082000,280.23,274.23,990,81,279.82,280.93,6.7,210,100,804,Clouds,overcast clouds,04d
