message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2789786,0.026789469,168,1583017200,278.24,269.69,992,80,277.59,279.15,9.8,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2789786,0.026789469,168,1583020800,278.41,269.89,992,80,278.15,279.26,9.8,200,75,803,Clouds,broken clouds,04n
Count: 168,200,2789786,0.026789469,168,1583024400,278.44,269.58,992,80,277.59,279.26,10.3,200,75,803,Clouds,broken clouds,04n
Count: 168,200,2789786,0.026789469,168,1583028000,278.33,270.92,991,80,277.59,279.15,8.2,200,75,803,Clouds,broken clouds,04n
Count: 168,200,2789786,0.026789469,168,1583031600,277.77,270.79,991,86,276.48,279.15,7.7,210,92,500,Rain,light rain,10n
Count: 168,200,2789786,0.026789469,168,1583035200,277.54,270.52,992,86,277.04,278.15,7.7,210,92,501,Rain,moderate rain,10n
Count: 168,200,2789786,0.026789469,168,1583038800,277.98,271.73,991,86,277.59,278.15,6.7,210,96,501,Rain,moderate rain,10n
Count: 168,200,2789786,0.026789469,168,1583042400,277.87,270.91,991,86,277.04,278.71,7.7,220,40,802,Clouds,scattered clouds,03n
Count: 168,200,2789786,0.026789469,168,1583046000,277.94,271.69,992,86,277.04,279.15,6.7,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2789786,0.026789469,168,1583049600,278.24,271.34,992,86,277.59,279.26,7.7,200,100,501,Rain,moderate rain,10d
Count: 168,200,2789786,0.026789469,168,1583053200,278.88,272.44,992,86,278.15,279.82,7.2,210,20,801,Clouds,few clouds,02d
Count: 168,200,2789786,0.026789469,168,1583056800,279.74,271.48,993,81,278.15,280.93,9.8,210,75,520,Rain,light intensity shower rain,09d
Count: 168,200,2789786,0.026789469,168,1583060400,280.89,273.05,993,87,279.15,282.04,9.8,210,20,801,Clouds,few clouds,02d
Count: 168,200,2789786,0.026789469,168,1583064000,281.29,272.41,992,75,279.82,282.04,10.8,220,20,801,Clouds,few clouds,02d
Count: 168,200,2789786,0.026789469,168,1583067600,280.28,273.75,993,86,278.15,282.59,7.7,270,100,501,Rain,moderate rain,10d
Count: 168,200,2789786,0.026789469,168,1583071200,280.18,274.72,992,87,278.15,282.04,6.2,260,100,301,Drizzle,drizzle,09d
Count: 168,200,2789786,0.026789469,168,1583074800,280.79,274.75,992,87,279.15,282.59,7.2,210,20,801,Clouds,few clouds,02d
Count: 168,200,2789786,0.026789469,168,1583078400,280.8,275.61,991,81,279.82,282.04,5.7,210,20,801,Clouds,few clouds,02d
Count: 168,200,2789786,0.026789469,168,1583082000,280.3,274.46,991,75,279.82,280.93,6.2,230,20,801,Clouds,few clouds,02d
Count: 168,200,2789786,0.026789469,168,1583085600,279.81,273.73,991,70,279.26,280.37,6.2,240,20,801,Clouds,few clouds,02n
Count: 168,200,2789786,0.026789469,168,1583089200,279.24,273.58,991,75,278.15,280.37,5.7,240,20,801,Clouds,few clouds,02n
Count: 168,200,2789786,0.026789469,168,1583092800,278.55,273.35,991,80,277.59,279.82,5.1,230,20,801,Clouds,few clouds,02n
Count: 168,200,2789786,0.026789469,168,1583096400,278.39,272.74,992,80,277.15,279.82,5.7,230,20,801,Clouds,few clouds,02n
Count: 168,200,2789786,0.026789469,168,1583100000,278.07,273.66,992,86,277.15,279.15,4.1,200,20,801,Clouds,few clouds,02n
Count: 168,200,2789786,0.026789469,168,1583103600,277.58,272.39,992,86,276.48,278.71,5.1,220,20,801,Clouds,few clouds,02n
Count: 168,200,2789786,0.026789469,168,1583107200,277.46,271.83,991,86,276.48,278.15,5.7,190,20,801,Clouds,few clouds,02n
Count: 168,200,2789786,0.026789469,168,1583110800,277.62,272.43,991,86,277.04,278.15,5.1,180,40,802,Clouds,scattered clouds,03n
Count: 168,200,2789786,0.026789469,168,1583114400,277.83,273.03,990,86,277.15,278.15,4.6,190,20,801,Clouds,few clouds,02n
Count: 168,200,2789786,0.026789469,168,1583118000,277.83,271.91,989,86,277.04,278.15,6.2,190,75,803,Clouds,broken clouds,04n
Count: 168,200,2789786,0.026789469,168,1583121600,277.78,273.71,987,100,277.04,278.71,4.1,140,100,500,Rain,light rain,10n
Count: 168,200,2789786,0.026789469,168,1583125200,278.2,273.66,987,93,277.59,278.71,4.6,160,99,701,Mist,mist,50n
Count: 168,200,2789786,0.026789469,168,1583128800,278.45,273.96,987,93,277.59,279.26,4.6,170,75,803,Clouds,broken clouds,04n
Count: 168,200,2789786,0.026789469,168,1583132400,278.81,274.39,986,93,278.15,279.82,4.6,180,75,803,Clouds,broken clouds,04d
Count: 168,200,2789786,0.026789469,168,1583136000,279.06,274.85,987,87,278.71,279.82,4.1,180,75,310,Drizzle,light intensity drizzle rain,09d
Count: 168,200,2789786,0.026789469,168,1583139600,279.33,275.36,987,93,278.71,279.82,4.1,170,75,310,Drizzle,light intensity drizzle rain,09d
Count: 168,200,2789786,0.026789469,168,1583143200,279.72,275.48,986,93,279.15,280.37,4.6,170,75,310,Drizzle,light intensity drizzle rain,09d
Count: 168,200,2789786,0.026789469,168,1583146800,280.29,278.15,987,100,279.26,280.93,2.1,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2789786,0.026789469,168,1583150400,280.6,277.39,987,87,279.82,281.48,3.1,230,75,500,Rain,light rain,10d
Count: 168,200,2789786,0.026789469,168,1583154000,281.09,277.63,987,87,280.15,282.04,3.6,270,75,500,Rain,light rain,10d
Count: 168,200,2789786,0.026789469,168,1583157600,281.11,277.1,988,81,280.15,282.04,4.1,280,40,802,Clouds,scattered clouds,03d
Count: 168,200,2789786,0.026789469,168,1583161200,280.54,275.92,989,87,279.82,281.48,5.1,330,75,520,Rain,light intensity shower rain,09d
Count: 168,200,2789786,0.026789469,168,1583164800,280.02,273.28,990,81,279.26,280.93,7.7,330,75,803,Clouds,broken clouds,04d
Count: 168,200,2789786,0.026789469,168,1583168400,279.91,274.01,992,75,279.26,280.37,6.2,330,75,803,Clouds,broken clouds,04d
Count: 168,200,2789786,0.026789469,168,1583172000,279.36,273.37,993,75,278.71,280.37,6.2,310,40,802,Clouds,scattered clouds,03n
Count: 168,200,2789786,0.026789469,168,1583175600,278.63,272.02,994,70,276.48,280.15,6.7,300,20,801,Clouds,few clouds,02n
Count: 168,200,2789786,0.026789469,168,1583179200,277.96,272.38,995,70,275.93,280.15,5.1,300,20,801,Clouds,few clouds,02n
Count: 168,200,2789786,0.026789469,168,1583182800,277.27,273.78,996,86,274.82,279.26,2.6,280,20,801,Clouds,few clouds,02n
Count: 168,200,2789786,0.026789469,168,1583186400,277.25,271.71,996,75,275.37,279.82,5.1,290,20,801,Clouds,few clouds,02n
Count: 168,200,2789786,0.026789469,168,1583190000,277.44,268.85,997,70,274.82,280.37,9.3,280,20,801,Clouds,few clouds,02n
Count: 168,200,2789786,0.026789469,168,1583193600,277.33,270.19,998,70,273.71,280.37,7.2,280,20,801,Clouds,few clouds,02n
Count: 168,200,2789786,0.026789469,168,1583197200,276.84,270.34,998,70,274.26,279.82,6.2,280,20,801,Clouds,few clouds,02n
Count: 168,200,2789786,0.026789469,168,1583200800,276.24,269.44,999,75,274.26,279.26,6.7,270,20,801,Clouds,few clouds,02n
