message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2799779,0.062734404,168,1583017200,278.27,269.73,992,80,277.59,279.15,9.8,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2799779,0.062734404,168,1583020800,278.46,269.95,992,80,278.15,279.26,9.8,200,75,803,Clouds,broken clouds,04n
Count: 168,200,2799779,0.062734404,168,1583024400,278.49,269.64,992,80,277.59,279.26,10.3,200,75,803,Clouds,broken clouds,04n
Count: 168,200,2799779,0.062734404,168,1583028000,278.37,270.97,991,80,277.59,279.15,8.2,200,75,803,Clouds,broken clouds,04n
Count: 168,200,2799779,0.062734404,168,1583031600,277.88,270.92,991,86,276.48,279.26,7.7,210,100,500,Rain,light rain,10n
Count: 168,200,2799779,0.062734404,168,1583035200,277.63,270.62,992,86,277.04,278.71,7.7,210,100,501,Rain,moderate rain,10n
Count: 168,200,2799779,0.062734404,168,1583038800,278.02,271.78,991,86,277.59,278.71,6.7,210,95,501,Rain,moderate rain,10n
Count: 168,200,2799779,0.062734404,168,1583042400,277.92,270.96,991,86,277.04,278.71,7.7,220,40,802,Clouds,scattered clouds,03n
Count: 168,200,2799779,0.062734404,168,1583046000,278.07,271.84,992,86,277.04,279.26,6.7,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2799779,0.062734404,168,1583049600,278.22,271.32,992,86,277.59,279.26,7.7,200,99,501,Rain,moderate rain,10d
Count: 168,200,2799779,0.062734404,168,1583053200,278.89,272.45,992,86,278.15,279.82,7.2,210,20,801,Clouds,few clouds,02d
Count: 168,200,2799779,0.062734404,168,1583056800,279.91,271.68,993,81,278.71,280.93,9.8,210,75,520,Rain,light intensity shower rain,09d
Count: 168,200,2799779,0.062734404,168,1583060400,280.81,272.96,993,87,279.15,282.59,9.8,210,20,801,Clouds,few clouds,02d
Count: 168,200,2799779,0.062734404,168,1583064000,281.33,272.45,992,75,279.82,282.04,10.8,220,20,801,Clouds,few clouds,02d
Count: 168,200,2799779,0.062734404,168,1583067600,280.4,273.9,993,86,278.15,282.59,7.7,270,76,501,Rain,moderate rain,10d
