message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2793857,0.042113897,168,1583017200,278.16,270.37,994,80,277.59,278.71,8.7,200,20,801,Clouds,few clouds,02n
Count: 168,200,2793857,0.042113897,168,1583020800,278.19,269.99,994,80,277.59,278.71,9.3,200,75,803,Clouds,broken clouds,04n
Count: 168,200,2793857,0.042113897,168,1583024400,278.28,269.95,994,75,277.59,278.71,9.3,200,47,802,Clouds,scattered clouds,03n
Count: 168,200,2793857,0.042113897,168,1583028000,278.24,270.81,994,80,277.59,278.71,8.2,200,75,803,Clouds,broken clouds,04n
Count: 168,200,2793857,0.042113897,168,1583031600,277.93,270.46,993,80,276.48,279.15,8.2,200,75,803,Clouds,broken clouds,04n
Count: 168,200,2793857,0.042113897,168,1583035200,277.8,270.82,992,86,276.48,279.26,7.7,210,73,501,Rain,moderate rain,10n
Count: 168,200,2793857,0.042113897,168,1583038800,278.17,269.82,993,75,277.04,279.26,9.3,210,87,500,Rain,light rain,10n
Count: 168,200,2793857,0.042113897,168,1583042400,278.09,270.15,993,75,277.04,279.15,8.7,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2793857,0.042113897,168,1583046000,278.07,271.67,993,80,277.04,279.15,6.7,200,75,803,Clouds,broken clouds,04d
Count: 168,200,2793857,0.042113897,168,1583049600,278.43,270.12,994,75,277.59,279.26,9.3,200,75,803,Clouds,broken clouds,04d
Count: 168,200,2793857,0.042113897,168,1583053200,279.02,270.45,994,75,278.15,279.82,9.8,200,75,803,Clouds,broken clouds,04d
Count: 168,200,2793857,0.042113897,168,1583056800,280.12,272.34,994,70,278.71,280.93,8.7,200,90,804,Clouds,overcast clouds,04d
Count: 168,200,2793857,0.042113897,168,1583060400,281.12,272.73,994,70,280.15,282.04,9.8,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2793857,0.042113897,168,1583064000,281.33,273.0,993,61,279.82,282.15,9.3,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2793857,0.042113897,168,1583067600,281.11,273.17,993,61,278.15,282.59,8.7,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2793857,0.042113897,168,1583071200,280.93,273.66,992,61,278.15,282.59,7.7,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2793857,0.042113897,168,1583074800,281.45,275.49,992,66,279.82,282.59,6.2,190,75,803,Clouds,broken clouds,04d
Count: 168,200,2793857,0.042113897,168,1583078400,281.1,276.52,991,65,280.15,282.04,4.1,200,100,500,Rain,light rain,10d
Count: 168,200,2793857,0.042113897,168,1583082000,280.4,276.95,991,81,279.82,281.15,3.1,230,75,500,Rain,light rain,10d
Count: 168,200,2793857,0.042113897,168,1583085600,279.77,276.4,991,87,279.15,280.37,3.1,210,100,804,Clouds,overcast clouds,04n
Count: 168,200,2793857,0.042113897,168,1583089200,279.13,274.59,992,87,278.15,279.82,4.6,230,100,804,Clouds,overcast clouds,04n
Count: 168,200,2793857,0.042113897,168,1583092800,278.6,274.13,992,81,277.59,279.26,4.1,220,71,803,Clouds,broken clouds,04n
Count: 168,200,2793857,0.042113897,168,1583096400,278.36,273.3,993,86,277.59,278.71,5.1,210,71,803,Clouds,broken clouds,04n
Count: 168,200,2793857,0.042113897,168,1583100000,278.04,273.62,993,86,277.59,278.71,4.1,190,20,801,Clouds,few clouds,02n
Count: 168,200,2793857,0.042113897,168,1583103600,277.63,272.44,993,86,277.04,278.15,5.1,180,20,801,Clouds,few clouds,02n
Count: 168,200,2793857,0.042113897,168,1583107200,277.4,270.89,992,80,276.48,278.15,6.7,180,36,802,Clouds,scattered clouds,03n
Count: 168,200,2793857,0.042113897,168,1583110800,277.59,272.4,992,86,277.04,278.15,5.1,170,90,804,Clouds,overcast clouds,04n
Count: 168,200,2793857,0.042113897,168,1583114400,277.84,271.57,991,86,277.15,278.71,6.7,170,75,803,Clouds,broken clouds,04n
Count: 168,200,2793857,0.042113897,168,1583118000,277.9,272.34,989,86,277.04,278.71,5.7,160,75,500,Rain,light rain,10n
Count: 168,200,2793857,0.042113897,168,1583121600,277.93,271.52,988,93,277.04,278.71,7.2,160,90,500,Rain,light rain,10n
Count: 168,200,2793857,0.042113897,168,1583125200,278.42,272.45,987,93,277.59,279.26,6.7,170,90,300,Drizzle,light intensity drizzle,09n
Count: 168,200,2793857,0.042113897,168,1583128800,278.64,272.37,987,93,278.15,279.26,7.2,170,90,804,Clouds,overcast clouds,04n
Count: 168,200,2793857,0.042113897,168,1583132400,278.86,274.1,987,93,278.15,279.82,5.1,160,100,500,Rain,light rain,10d
Count: 168,200,2793857,0.042113897,168,1583136000,279.05,274.33,987,93,278.71,279.82,5.1,160,90,300,Drizzle,light intensity drizzle,09d
Count: 168,200,2793857,0.042113897,168,1583139600,279.36,275.27,987,100,278.71,279.82,4.6,160,90,500,Rain,light rain,10d
Count: 168,200,2793857,0.042113897,168,1583143200,279.9,276.05,986,93,279.15,280.93,4.1,170,75,500,Rain,light rain,10d
Count: 168,200,2793857,0.042113897,168,1583146800,280.46,277.43,987,93,279.82,281.15,3.1,180,75,803,Clouds,broken clouds,04d
Count: 168,200,2793857,0.042113897,168,1583150400,280.75,276.52,987,87,280.15,281.48,4.6,250,100,500,Rain,light rain,10d
Count: 168,200,2793857,0.042113897,168,1583154000,281.12,277.32,987,87,280.37,281.48,4.1,260,75,500,Rain,light rain,10d
Count: 168,200,2793857,0.042113897,168,1583157600,281.23,277.8,988,87,280.37,282.04,3.6,280,90,804,Clouds,overcast clouds,04d
Count: 168,200,2793857,0.042113897,168,1583161200,280.69,276.8,988,87,279.82,281.48,4.1,270,100,500,Rain,light rain,10d
Count: 168,200,2793857,0.042113897,168,1583164800,280.2,274.59,990,93,279.82,281.15,6.7,310,100,500,Rain,light rain,10d
Count: 168,200,2793857,0.042113897,168,1583168400,279.99,272.55,992,81,279.82,280.37,8.7,310,100,500,Rain,light rain,10d
Count: 168,200,2793857,0.042113897,168,1583172000,279.2,272.67,993,81,278.71,280.15,7.2,300,75,803,Clouds,broken clouds,04n
Count: 168,200,2793857,0.042113897,168,1583175600,278.33,274.31,995,86,276.48,280.15,3.6,290,100,500,Rain,light rain,10n
Count: 168,200,2793857,0.042113897,168,1583179200,277.44,273.97,995,86,275.93,279.15,2.6,230,20,801,Clouds,few clouds,02n
Count: 168,200,2793857,0.042113897,168,1583182800,276.88,273.86,996,93,275.93,277.59,2.1,220,43,802,Clouds,scattered clouds,03n
Count: 168,200,2793857,0.042113897,168,1583186400,276.5,272.18,997,86,275.37,279.15,3.6,250,43,802,Clouds,scattered clouds,03n
Count: 168,200,2793857,0.042113897,168,1583190000,276.72,271.93,998,80,274.82,279.26,4.1,250,35,802,Clouds,scattered clouds,03n
Count: 168,200,2793857,0.042113897,168,1583193600,276.47,272.5,999,86,273.71,279.26,3.1,260,35,802,Clouds,scattered clouds,03n
Count: 168,200,2793857,0.042113897,168,1583197200,275.69,270.92,999,87,274.26,278.71,4.1,230,45,802,Clouds,scattered clouds,03n
Count: 168,200,2793857,0.042113897,168,1583200800,275.31,270.32,1000,80,274.26,277.04,4.1,210,0,800,Clear,clear sky,01n
Count: 168,200,2793857,0.042113897,168,1583204400,275.11,269.91,1000,87,274.26,276.15,4.6,210,20,801,Clouds,few clouds,02n
Count: 168,200,2793857,0.042113897,168,1583208000,274.66,269.88,1000,93,273.71,275.37,4.1,190,75,803,Clouds,broken clouds,04n
Count: 168,200,2793857,0.042113897,168,1583211600,274.57,270.04,1001,89,273.71,275.37,3.6,190,0,800,Clear,clear sky,01n
Count: 168,200,2793857,0.042113897,168,1583215200,274.45,270.25,1001,89,273.71,275.37,3.1,170,0,800,Clear,clear sky,01n
Count: 168,200,2793857,0.042113897,168,1583218800,274.74,270.23,1001,89,274.15,275.37,3.6,180,20,801,Clouds,few clouds,02d
Count: 168,200,2793857,0.042113897,168,1583222400,275.87,270.93,1001,93,274.82,277.04,4.6,190,20,801,Clouds,few clouds,02d
Count: 168,200,2793857,0.042113897,168,1583226000,277.5,272.29,1002,86,276.15,278.71,5.1,200,75,803,Clouds,broken clouds,04d
Count: 168,200,2793857,0.042113897,168,1583229600,279.37,274.65,1002,80,278.15,281.48,4.6,200,20,801,Clouds,few clouds,02d
Count: 168,200,2793857,0.042113897,168,1583233200,280.26,274.42,1002,75,279.15,281.48,6.2,230,75,803,Clouds,broken clouds,04d
Count: 168,200,2793857,0.042113897,168,1583236800,280.72,275.72,1002,75,279.15,282.04,5.1,220,80,500,Rain,light rain,10d
Count: 168,200,2793857,0.042113897,168,1583240400,280.73,275.74,1002,75,278.71,282.59,5.1,240,75,803,Clouds,broken clouds,04d
Count: 168,200,2793857,0.042113897,168,1583244000,281.0,276.61,1003,81,279.15,282.59,4.6,200,100,500,Rain,light rain,10d
Count: 168,200,2793857,0.042113897,168,1583247600,281.41,275.59,1003,70,280.37,282.59,6.2,260,75,803,Clouds,broken clouds,04d
Count: 168,200,2793857,0.042113897,168,1583251200,281.15,276.05,1004,70,279.82,282.59,5.1,260,99,500,Rain,light rain,10d
