message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2803130,0.006745854,168,1583017200,278.13,270.34,994,80,277.59,278.71,8.7,200,20,801,Clouds,few clouds,02n
Count: 168,200,2803130,0.006745854,168,1583020800,278.32,270.14,994,80,277.59,279.26,9.3,200,75,803,Clouds,broken clouds,04n
Count: 168,200,2803130,0.006745854,168,1583024400,278.38,270.06,994,75,277.59,279.26,9.3,200,47,802,Clouds,scattered clouds,03n
Count: 168,200,2803130,0.006745854,168,1583028000,278.37,270.97,994,80,277.59,279.15,8.2,200,75,803,Clouds,broken clouds,04n
Count: 168,200,2803130,0.006745854,168,1583031600,278.48,271.09,993,80,277.04,279.82,8.2,200,75,803,Clouds,broken clouds,04n
Count: 168,200,2803130,0.006745854,168,1583035200,278.17,269.47,993,75,276.48,279.82,9.8,200,75,500,Rain,light rain,10n
Count: 168,200,2803130,0.006745854,168,1583038800,278.45,270.14,993,75,277.04,279.82,9.3,210,87,500,Rain,light rain,10n
Count: 168,200,2803130,0.006745854,168,1583042400,278.42,270.53,993,75,277.15,279.82,8.7,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2803130,0.006745854,168,1583046000,278.41,272.06,993,80,277.04,279.82,6.7,200,75,500,Rain,light rain,10d
Count: 168,200,2803130,0.006745854,168,1583049600,278.64,270.36,994,75,277.59,279.82,9.3,200,75,803,Clouds,broken clouds,04d
Count: 168,200,2803130,0.006745854,168,1583053200,279.27,270.74,994,75,278.15,280.37,9.8,200,75,803,Clouds,broken clouds,04d
Count: 168,200,2803130,0.006745854,168,1583056800,280.28,272.52,994,70,279.15,280.93,8.7,200,90,804,Clouds,overcast clouds,04d
Count: 168,200,2803130,0.006745854,168,1583060400,281.34,272.99,994,70,280.15,282.59,9.8,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2803130,0.006745854,168,1583064000,281.49,273.19,993,61,280.37,282.59,9.3,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2803130,0.006745854,168,1583067600,281.92,274.1,993,61,280.37,282.59,8.7,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2803130,0.006745854,168,1583071200,281.44,274.25,992,61,279.15,283.15,7.7,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2803130,0.006745854,168,1583074800,281.66,275.74,992,66,279.82,283.15,6.2,190,75,803,Clouds,broken clouds,04d
Count: 168,200,2803130,0.006745854,168,1583078400,281.15,276.58,991,65,280.15,282.04,4.1,200,100,500,Rain,light rain,10d
Count: 168,200,2803130,0.006745854,168,1583082000,280.51,277.08,991,81,279.82,281.48,3.1,230,75,500,Rain,light rain,10d
Count: 168,200,2803130,0.006745854,168,1583085600,279.86,276.51,991,87,279.15,280.93,3.1,210,100,804,Clouds,overcast clouds,04n
Count: 168,200,2803130,0.006745854,168,1583089200,279.35,274.85,992,87,278.71,280.37,4.6,230,100,804,Clouds,overcast clouds,04n
Count: 168,200,2803130,0.006745854,168,1583092800,278.76,274.32,992,81,277.59,279.82,4.1,220,71,803,Clouds,broken clouds,04n
Count: 168,200,2803130,0.006745854,168,1583096400,278.49,273.45,993,86,277.59,279.26,5.1,210,71,803,Clouds,broken clouds,04n
Count: 168,200,2803130,0.006745854,168,1583100000,278.24,273.86,993,86,277.59,279.15,4.1,190,20,801,Clouds,few clouds,02n
Count: 168,200,2803130,0.006745854,168,1583103600,277.72,272.55,993,86,277.04,278.71,5.1,180,20,801,Clouds,few clouds,02n
Count: 168,200,2803130,0.006745854,168,1583107200,277.45,270.95,992,80,276.48,278.15,6.7,180,36,802,Clouds,scattered clouds,03n
Count: 168,200,2803130,0.006745854,168,1583110800,277.64,272.46,992,86,277.04,278.15,5.1,170,90,804,Clouds,overcast clouds,04n
Count: 168,200,2803130,0.006745854,168,1583114400,277.81,271.53,991,86,277.04,278.71,6.7,170,75,803,Clouds,broken clouds,04n
Count: 168,200,2803130,0.006745854,168,1583118000,277.97,272.42,989,86,277.04,278.71,5.7,160,75,500,Rain,light rain,10n
Count: 168,200,2803130,0.006745854,168,1583121600,278.09,271.71,988,93,277.15,278.71,7.2,160,90,500,Rain,light rain,10n
Count: 168,200,2803130,0.006745854,168,1583125200,278.49,272.36,989,87,277.59,279.26,6.7,170,100,500,Rain,light rain,10n
Count: 168,200,2803130,0.006745854,168,1583128800,278.66,272.39,987,93,278.15,279.26,7.2,170,90,804,Clouds,overcast clouds,04n
Count: 168,200,2803130,0.006745854,168,1583132400,278.9,274.15,987,93,278.15,279.82,5.1,160,100,500,Rain,light rain,10d
Count: 168,200,2803130,0.006745854,168,1583136000,279.08,274.36,987,93,278.71,279.82,5.1,160,90,300,Drizzle,light intensity drizzle,09d
Count: 168,200,2803130,0.006745854,168,1583139600,279.49,275.43,987,100,279.15,280.37,4.6,160,90,501,Rain,moderate rain,10d
Count: 168,200,2803130,0.006745854,168,1583143200,279.99,276.16,986,93,279.15,280.93,4.1,170,75,501,Rain,moderate rain,10d
Count: 168,200,2803130,0.006745854,168,1583146800,280.48,277.45,987,93,279.82,281.15,3.1,180,75,501,Rain,moderate rain,10d
Count: 168,200,2803130,0.006745854,168,1583150400,280.77,276.55,987,87,280.15,281.48,4.6,250,100,500,Rain,light rain,10d
Count: 168,200,2803130,0.006745854,168,1583154000,281.05,277.23,987,87,280.37,281.48,4.1,260,75,500,Rain,light rain,10d
Count: 168,200,2803130,0.006745854,168,1583157600,281.16,277.72,988,87,280.37,282.04,3.6,280,90,804,Clouds,overcast clouds,04d
Count: 168,200,2803130,0.006745854,168,1583161200,280.79,276.92,988,87,279.82,281.48,4.1,270,100,500,Rain,light rain,10d
Count: 168,200,2803130,0.006745854,168,1583164800,280.27,274.68,990,93,279.82,281.15,6.7,310,100,500,Rain,light rain,10d
Count: 168,200,2803130,0.006745854,168,1583168400,280.01,272.57,992,81,279.82,280.37,8.7,310,100,500,Rain,light rain,10d
Count: 168,200,2803130,0.006745854,168,1583172000,279.34,272.83,993,81,278.71,280.37,7.2,300,75,803,Clouds,broken clouds,04n
Count: 168,200,2803130,0.006745854,168,1583175600,278.56,273.56,994,87,277.04,280.15,5.1,300,100,500,Rain,light rain,10n
Count: 168,200,2803130,0.006745854,168,1583179200,277.76,274.35,995,86,275.93,279.26,2.6,230,20,801,Clouds,few clouds,02n
Count: 168,200,2803130,0.006745854,168,1583182800,277.16,274.19,996,93,275.93,278.71,2.1,220,43,802,Clouds,scattered clouds,03n
Count: 168,200,2803130,0.006745854,168,1583186400,276.62,272.32,997,86,275.37,278.71,3.6,250,43,802,Clouds,scattered clouds,03n
Count: 168,200,2803130,0.006745854,168,1583190000,276.51,271.69,998,80,274.82,278.15,4.1,250,35,802,Clouds,scattered clouds,03n
Count: 168,200,2803130,0.006745854,168,1583193600,276.53,272.57,999,86,274.82,279.26,3.1,260,35,802,Clouds,scattered clouds,03n
Count: 168,200,2803130,0.006745854,168,1583197200,275.87,271.13,999,87,274.26,278.71,4.1,230,45,802,Clouds,scattered clouds,03n
Count: 168,200,2803130,0.006745854,168,1583200800,275.44,270.47,1000,80,274.26,277.04,4.1,210,0,800,Clear,clear sky,01n
Count: 168,200,2803130,0.006745854,168,1583204400,275.24,270.06,1000,87,273.71,277.04,4.6,210,20,801,Clouds,few clouds,02n
Count: 168,200,2803130,0.006745854,168,1583208000,274.78,270.02,1000,93,273.71,275.37,4.1,190,75,803,Clouds,broken clouds,04n
Count: 168,200,2803130,0.006745854,168,1583211600,274.66,270.14,1001,89,273.71,275.37,3.6,190,0,800,Clear,clear sky,01n
Count: 168,200,2803130,0.006745854,168,1583215200,274.5,270.31,1001,89,273.71,275.37,3.1,170,0,500,Rain,light rain,10n
Count: 168,200,2803130,0.006745854,168,1583218800,274.81,270.31,1001,89,274.15,275.93,3.6,180,20,801,Clouds,few clouds,02d
Count: 168,200,2803130,0.006745854,168,1583222400,275.98,271.06,1001,93,274.82,277.04,4.6,190,20,801,Clouds,few clouds,02d
