message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2785476,0.080880339,168,1583017200,278.24,270.46,994,80,277.59,279.15,8.7,200,20,801,Clouds,few clouds,02n
Count: 168,200,2785476,0.080880339,168,1583020800,278.4,270.23,994,80,277.59,279.26,9.3,200,75,803,Clouds,broken clouds,04n
Count: 168,200,2785476,0.080880339,168,1583024400,278.43,270.12,994,75,277.59,279.26,9.3,200,47,802,Clouds,scattered clouds,03n
Count: 168,200,2785476,0.080880339,168,1583028000,278.35,270.94,994,80,277.59,279.15,8.2,200,75,803,Clouds,broken clouds,04n
Count: 168,200,2785476,0.080880339,168,1583031600,278.15,271.23,991,86,276.48,279.82,7.7,210,73,500,Rain,light rain,10n
Count: 168,200,2785476,0.080880339,168,1583035200,277.88,270.92,992,86,276.48,279.26,7.7,210,73,501,Rain,moderate rain,10n
Count: 168,200,2785476,0.080880339,168,1583038800,278.18,271.97,991,86,277.04,279.26,6.7,210,87,501,Rain,moderate rain,10n
Count: 168,200,2785476,0.080880339,168,1583042400,278.13,270.19,993,75,277.04,279.15,8.7,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2785476,0.080880339,168,1583046000,278.16,271.77,993,80,277.04,279.15,6.7,200,75,803,Clouds,broken clouds,04d
Count: 168,200,2785476,0.080880339,168,1583049600,278.44,271.57,992,86,277.59,279.26,7.7,200,100,501,Rain,moderate rain,10d
Count: 168,200,2785476,0.080880339,168,1583053200,278.97,270.39,994,75,278.15,279.82,9.8,200,75,803,Clouds,broken clouds,04d
Count: 168,200,2785476,0.080880339,168,1583056800,280.07,272.28,994,70,278.71,280.93,8.7,200,90,804,Clouds,overcast clouds,04d
Count: 168,200,2785476,0.080880339,168,1583060400,281.06,272.66,994,70,279.15,282.59,9.8,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2785476,0.080880339,168,1583064000,281.47,273.16,993,61,279.82,282.59,9.3,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2785476,0.080880339,168,1583067600,281.02,274.64,993,86,278.15,282.59,7.7,270,96,501,Rain,moderate rain,10d
Count: 168,200,2785476,0.080880339,168,1583071200,280.88,275.56,992,87,278.15,283.15,6.2,260,100,301,Drizzle,drizzle,09d
Count: 168,200,2785476,0.080880339,168,1583074800,281.15,275.14,992,66,279.15,283.15,6.2,190,75,803,Clouds,broken clouds,04d
Count: 168,200,2785476,0.080880339,168,1583078400,280.9,276.29,991,65,279.82,282.04,4.1,200,100,500,Rain,light rain,10d
Count: 168,200,2785476,0.080880339,168,1583082000,280.35,276.89,991,81,279.82,281.15,3.1,230,75,500,Rain,light rain,10d
Count: 168,200,2785476,0.080880339,168,1583085600,279.84,276.48,991,87,279.15,280.93,3.1,210,100,804,Clouds,overcast clouds,04n
Count: 168,200,2785476,0.080880339,168,1583089200,279.38,274.88,992,87,278.15,280.37,4.6,230,100,804,Clouds,overcast clouds,04n
Count: 168,200,2785476,0.080880339,168,1583092800,278.88,274.46,992,81,277.59,280.37,4.1,220,71,803,Clouds,broken clouds,04n
Count: 168,200,2785476,0.080880339,168,1583096400,278.56,273.53,993,86,277.59,279.82,5.1,210,71,803,Clouds,broken clouds,04n
Count: 168,200,2785476,0.080880339,168,1583100000,278.26,273.88,993,86,277.59,279.26,4.1,190,20,801,Clouds,few clouds,02n
Count: 168,200,2785476,0.080880339,168,1583103600,277.74,272.57,993,86,276.48,279.15,5.1,180,20,801,Clouds,few clouds,02n
Count: 168,200,2785476,0.080880339,168,1583107200,277.51,271.02,992,80,276.48,278.15,6.7,180,36,802,Clouds,scattered clouds,03n
Count: 168,200,2785476,0.080880339,168,1583110800,277.69,272.51,992,86,277.04,278.15,5.1,170,90,804,Clouds,overcast clouds,04n
Count: 168,200,2785476,0.080880339,168,1583114400,277.85,271.58,991,86,277.04,278.71,6.7,170,75,803,Clouds,broken clouds,04n
Count: 168,200,2785476,0.080880339,168,1583118000,277.91,272.35,989,86,277.04,278.71,5.7,160,75,500,Rain,light rain,10n
Count: 168,200,2785476,0.080880339,168,1583121600,277.99,273.96,987,100,277.04,278.71,4.1,140,100,500,Rain,light rain,10n
Count: 168,200,2785476,0.080880339,168,1583125200,278.38,273.88,987,93,277.59,279.26,4.6,160,100,701,Mist,mist,50n
Count: 168,200,2785476,0.080880339,168,1583128800,278.56,272.27,987,93,277.59,279.26,7.2,170,90,804,Clouds,overcast clouds,04n
Count: 168,200,2785476,0.080880339,168,1583132400,278.84,274.08,987,93,278.15,279.82,5.1,160,100,500,Rain,light rain,10d
Count: 168,200,2785476,0.080880339,168,1583136000,279.08,274.36,987,93,278.71,279.82,5.1,160,90,300,Drizzle,light intensity drizzle,09d
