message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2783717,0.032303819,168,1583017200,278.15,270.36,994,80,277.59,278.71,8.7,200,20,801,Clouds,few clouds,02n
Count: 168,200,2783717,0.032303819,168,1583020800,278.34,270.16,994,80,277.59,279.26,9.3,200,75,803,Clouds,broken clouds,04n
Count: 168,200,2783717,0.032303819,168,1583024400,278.39,270.07,994,75,277.59,279.26,9.3,200,47,802,Clouds,scattered clouds,03n
Count: 168,200,2783717,0.032303819,168,1583028000,278.31,270.9,994,80,277.59,279.15,8.2,200,75,803,Clouds,broken clouds,04n
Count: 168,200,2783717,0.032303819,168,1583031600,278.17,270.73,993,80,276.48,279.82,8.2,200,75,803,Clouds,broken clouds,04n
Count: 168,200,2783717,0.032303819,168,1583035200,278.04,271.1,992,86,276.48,279.82,7.7,210,73,501,Rain,moderate rain,10n
Count: 168,200,2783717,0.032303819,168,1583038800,278.35,272.17,991,86,277.04,279.82,6.7,210,87,501,Rain,moderate rain,10n
Count: 168,200,2783717,0.032303819,168,1583042400,278.19,270.26,993,75,277.04,279.26,8.7,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2783717,0.032303819,168,1583046000,278.22,271.84,993,80,277.04,279.26,6.7,200,75,500,Rain,light rain,10d
Count: 168,200,2783717,0.032303819,168,1583049600,278.55,270.26,994,75,277.59,279.82,9.3,200,75,803,Clouds,broken clouds,04d
Count: 168,200,2783717,0.032303819,168,1583053200,279.2,270.66,994,75,278.15,280.37,9.8,200,75,803,Clouds,broken clouds,04d
Count: 168,200,2783717,0.032303819,168,1583056800,280.16,272.38,994,70,278.71,280.93,8.7,200,90,804,Clouds,overcast clouds,04d
Count: 168,200,2783717,0.032303819,168,1583060400,281.28,272.92,994,70,280.15,282.59,9.8,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2783717,0.032303819,168,1583064000,281.4,273.08,993,61,279.82,282.59,9.3,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2783717,0.032303819,168,1583067600,281.77,273.93,993,61,278.71,282.59,8.7,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2783717,0.032303819,168,1583071200,281.29,274.08,992,61,279.15,283.15,7.7,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2783717,0.032303819,168,1583074800,281.56,275.62,992,66,279.82,283.15,6.2,190,75,803,Clouds,broken clouds,04d
Count: 168,200,2783717,0.032303819,168,1583078400,281.08,276.5,991,65,280.15,282.04,4.1,200,100,500,Rain,light rain,10d
Count: 168,200,2783717,0.032303819,168,1583082000,280.45,277.01,991,81,279.82,281.48,3.1,230,75,500,Rain,light rain,10d
Count: 168,200,2783717,0.032303819,168,1583085600,279.84,276.48,991,87,279.15,280.93,3.1,210,100,804,Clouds,overcast clouds,04n
Count: 168,200,2783717,0.032303819,168,1583089200,279.26,274.74,992,87,278.15,280.37,4.6,230,100,804,Clouds,overcast clouds,04n
Count: 168,200,2783717,0.032303819,168,1583092800,278.7,274.25,992,81,277.59,279.82,4.1,220,71,803,Clouds,broken clouds,04n
Count: 168,200,2783717,0.032303819,168,1583096400,278.45,273.41,993,86,277.59,279.26,5.1,210,71,803,Clouds,broken clouds,04n
Count: 168,200,2783717,0.032303819,168,1583100000,278.19,273.8,993,86,277.59,279.15,4.1,190,20,801,Clouds,few clouds,02n
Count: 168,200,2783717,0.032303819,168,1583103600,277.62,272.43,993,86,276.48,278.71,5.1,180,20,801,Clouds,few clouds,02n
Count: 168,200,2783717,0.032303819,168,1583107200,277.42,270.92,992,80,276.48,278.15,6.7,180,36,802,Clouds,scattered clouds,03n
Count: 168,200,2783717,0.032303819,168,1583110800,277.62,272.43,992,86,277.04,278.15,5.1,170,90,804,Clouds,overcast clouds,04n
Count: 168,200,2783717,0.032303819,168,1583114400,277.82,271.55,991,86,277.04,278.71,6.7,170,75,803,Clouds,broken clouds,04n
Count: 168,200,2783717,0.032303819,168,1583118000,277.94,272.39,989,86,277.04,278.71,5.7,160,75,500,Rain,light rain,10n
Count: 168,200,2783717,0.032303819,168,1583121600,277.99,271.59,988,93,277.04,278.71,7.2,160,90,500,Rain,light rain,10n
Count: 168,200,2783717,0.032303819,168,1583125200,278.44,272.3,989,87,277.59,279.26,6.7,170,100,500,Rain,light rain,10n
Count: 168,200,2783717,0.032303819,168,1583128800,278.63,272.36,987,93,278.15,279.26,7.2,170,90,804,Clouds,overcast clouds,04n
Count: 168,200,2783717,0.032303819,168,1583132400,278.87,274.11,987,93,278.15,279.82,5.1,160,100,500,Rain,light rain,10d
Count: 168,200,2783717,0.032303819,168,1583136000,279.07,274.35,987,93,278.71,279.82,5.1,160,90,300,Drizzle,light intensity drizzle,09d
Count: 168,200,2783717,0.032303819,168,1583139600,279.37,275.28,987,100,278.71,279.82,4.6,160,90,501,Rain,moderate rain,10d
Count: 168,200,2783717,0.032303819,168,1583143200,279.94,276.1,986,93,279.15,280.93,4.1,170,75,501,Rain,moderate rain,10d
Count: 168,200,2783717,0.032303819,168,1583146800,280.44,277.4,987,93,279.82,281.15,3.1,180,75,501,Rain,moderate rain,10d
Count: 168,200,2783717,0.032303819,168,1583150400,280.74,276.51,987,87,280.15,281.48,4.6,250,100,500,Rain,light rain,10d
Count: 168,200,2783717,0.032303819,168,1583154000,281.07,277.26,987,87,280.37,281.48,4.1,260,75,500,Rain,light rain,10d
Count: 168,200,2783717,0.032303819,168,1583157600,281.13,277.68,988,87,280.15,282.04,3.6,280,90,804,Clouds,overcast clouds,04d
Count: 168,200,2783717,0.032303819,168,1583161200,280.73,276.85,988,87,279.82,281.48,4.1,270,100,500,Rain,light rain,10d
Count: 168,200,2783717,0.032303819,168,1583164800,280.23,274.63,990,93,279.82,281.15,6.7,310,100,500,Rain,light rain,10d
Count: 168,200,2783717,0.032303819,168,1583168400,280.01,272.57,992,81,279.82,280.37,8.7,310,100,500,Rain,light rain,10d
Count: 168,200,2783717,0.032303819,168,1583172000,279.32,272.81,993,81,278.71,280.37,7.2,300,75,803,Clouds,broken clouds,04n
Count: 168,200,2783717,0.032303819,168,1583175600,278.59,273.6,994,87,277.04,280.15,5.1,300,100,500,Rain,light rain,10n
