message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2789737,0.03913637,168,1583017200,278.21,270.43,994,80,277.59,279.15,8.7,200,20,801,Clouds,few clouds,02n
Count: 168,200,2789737,0.03913637,168,1583020800,278.38,270.21,994,80,277.59,279.26,9.3,200,75,803,Clouds,broken clouds,04n
Count: 168,200,2789737,0.03913637,168,1583024400,278.38,270.06,994,75,277.59,279.26,9.3,200,47,802,Clouds,scattered clouds,03n
Count: 168,200,2789737,0.03913637,168,1583028000,278.31,270.9,994,80,277.59,279.15,8.2,200,75,803,Clouds,broken clouds,04n
Count: 168,200,2789737,0.03913637,168,1583031600,278.13,270.69,993,80,276.48,279.82,8.2,200,75,803,Clouds,broken clouds,04n
Count: 168,200,2789737,0.03913637,168,1583035200,277.96,271.01,992,86,276.48,279.82,7.7,210,73,501,Rain,moderate rain,10n
Count: 168,200,2789737,0.03913637,168,1583038800,278.29,272.1,991,86,277.04,279.82,6.7,210,87,501,Rain,moderate rain,10n
Count: 168,200,2789737,0.03913637,168,1583042400,278.11,270.17,993,75,277.04,279.15,8.7,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2789737,0.03913637,168,1583046000,278.14,271.75,993,80,277.04,279.15,6.7,200,75,500,Rain,light rain,10d
Count: 168,200,2789737,0.03913637,168,1583049600,278.51,271.66,992,86,277.59,279.82,7.7,200,100,501,Rain,moderate rain,10d
Count: 168,200,2789737,0.03913637,168,1583053200,279.17,270.62,994,75,278.15,280.37,9.8,200,75,803,Clouds,broken clouds,04d
Count: 168,200,2789737,0.03913637,168,1583056800,280.14,272.36,994,70,278.71,280.93,8.7,200,90,804,Clouds,overcast clouds,04d
Count: 168,200,2789737,0.03913637,168,1583060400,281.26,272.89,994,70,280.15,282.59,9.8,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2789737,0.03913637,168,1583064000,281.39,273.07,993,61,279.82,282.59,9.3,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2789737,0.03913637,168,1583067600,281.23,273.31,993,61,278.15,282.59,8.7,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2789737,0.03913637,168,1583071200,281.06,275.78,992,87,278.15,283.15,6.2,260,100,301,Drizzle,drizzle,09d
Count: 168,200,2789737,0.03913637,168,1583074800,281.5,275.55,992,66,279.82,283.15,6.2,190,75,803,Clouds,broken clouds,04d
Count: 168,200,2789737,0.03913637,168,1583078400,280.98,276.38,991,65,279.82,282.04,4.1,200,100,500,Rain,light rain,10d
Count: 168,200,2789737,0.03913637,168,1583082000,280.4,276.95,991,81,279.82,281.48,3.1,230,75,500,Rain,light rain,10d
Count: 168,200,2789737,0.03913637,168,1583085600,279.73,276.35,991,87,278.71,280.93,3.1,210,100,804,Clouds,overcast clouds,04n
