message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2803091,0.003561482,168,1583017200,278.26,270.49,994,80,277.59,279.26,8.7,200,20,801,Clouds,few clouds,02n
Count: 168,200,2803091,0.003561482,168,1583020800,278.36,270.18,994,80,278.15,279.26,9.3,200,75,803,Clouds,broken clouds,04n
Count: 168,200,2803091,0.003561482,168,1583024400,278.38,270.06,994,75,277.59,279.26,9.3,200,47,802,Clouds,scattered clouds,03n
Count: 168,200,2803091,0.003561482,168,1583028000,278.32,270.91,994,80,277.59,279.15,8.2,200,75,803,Clouds,broken clouds,04n
Count: 168,200,2803091,0.003561482,168,1583031600,277.89,270.93,991,86,276.48,279.15,7.7,210,92,500,Rain,light rain,10n
Count: 168,200,2803091,0.003561482,168,1583035200,277.7,270.71,992,86,276.48,279.26,7.7,210,92,501,Rain,moderate rain,10n
Count: 168,200,2803091,0.003561482,168,1583038800,278.08,271.85,991,86,277.04,279.26,6.7,210,96,501,Rain,moderate rain,10n
Count: 168,200,2803091,0.003561482,168,1583042400,278.03,270.08,993,75,277.04,279.15,8.7,210,75,501,Rain,moderate rain,10n
Count: 168,200,2803091,0.003561482,168,1583046000,278.12,271.73,993,80,277.04,279.26,6.7,200,75,501,Rain,moderate rain,10d
Count: 168,200,2803091,0.003561482,168,1583049600,278.44,271.57,992,86,277.59,279.82,7.7,200,100,501,Rain,moderate rain,10d
Count: 168,200,2803091,0.003561482,168,1583053200,278.98,270.4,994,75,278.15,279.82,9.8,200,75,500,Rain,light rain,10d
Count: 168,200,2803091,0.003561482,168,1583056800,280.01,272.21,994,70,278.71,280.93,8.7,200,90,804,Clouds,overcast clouds,04d
Count: 168,200,2803091,0.003561482,168,1583060400,281.02,272.61,994,70,279.15,282.59,9.8,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2803091,0.003561482,168,1583064000,281.39,273.07,993,61,279.82,282.59,9.3,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2803091,0.003561482,168,1583067600,280.83,274.41,993,86,278.15,282.59,7.7,270,100,501,Rain,moderate rain,10d
Count: 168,200,2803091,0.003561482,168,1583071200,280.77,275.43,992,87,278.15,283.15,6.2,260,100,301,Drizzle,drizzle,09d
Count: 168,200,2803091,0.003561482,168,1583074800,281.13,275.12,992,66,279.15,282.59,6.2,190,75,803,Clouds,broken clouds,04d
Count: 168,200,2803091,0.003561482,168,1583078400,280.93,276.32,991,65,279.82,282.04,4.1,200,100,500,Rain,light rain,10d
Count: 168,200,2803091,0.003561482,168,1583082000,280.34,276.88,991,81,279.82,281.15,3.1,230,75,500,Rain,light rain,10d
Count: 168,200,2803091,0.003561482,168,1583085600,279.73,276.35,991,87,278.71,280.37,3.1,210,100,804,Clouds,overcast clouds,04n
Count: 168,200,2803091,0.003561482,168,1583089200,279.23,274.71,992,87,278.15,280.37,4.6,230,100,804,Clouds,overcast clouds,04n
Count: 168,200,2803091,0.003561482,168,1583092800,278.62,274.16,992,81,277.59,279.82,4.1,220,53,803,Clouds,broken clouds,04n
Count: 168,200,2803091,0.003561482,168,1583096400,278.42,273.37,993,86,277.15,279.82,5.1,210,53,803,Clouds,broken clouds,04n
Count: 168,200,2803091,0.003561482,168,1583100000,278.14,273.74,993,86,277.15,279.26,4.1,190,20,801,Clouds,few clouds,02n
Count: 168,200,2803091,0.003561482,168,1583103600,277.61,272.42,993,86,276.48,278.71,5.1,180,20,801,Clouds,few clouds,02n
Count: 168,200,2803091,0.003561482,168,1583107200,277.47,270.97,992,80,276.48,278.15,6.7,180,49,802,Clouds,scattered clouds,03n
Count: 168,200,2803091,0.003561482,168,1583110800,277.65,272.47,992,86,277.04,278.15,5.1,170,90,804,Clouds,overcast clouds,04n
Count: 168,200,2803091,0.003561482,168,1583114400,277.88,271.62,991,86,277.15,278.71,6.7,170,75,803,Clouds,broken clouds,04n
Count: 168,200,2803091,0.003561482,168,1583118000,277.92,272.36,989,86,277.04,278.71,5.7,160,75,500,Rain,light rain,10n
Count: 168,200,2803091,0.003561482,168,1583121600,277.93,273.89,987,100,277.04,278.71,4.1,140,100,501,Rain,moderate rain,10n
Count: 168,200,2803091,0.003561482,168,1583125200,278.38,273.88,987,93,277.59,279.26,4.6,160,99,701,Mist,mist,50n
Count: 168,200,2803091,0.003561482,168,1583128800,278.61,272.33,987,93,277.59,279.26,7.2,170,90,804,Clouds,overcast clouds,04n
Count: 168,200,2803091,0.003561482,168,1583132400,278.91,274.16,987,93,278.15,279.82,5.1,160,99,500,Rain,light rain,10d
Count: 168,200,2803091,0.003561482,168,1583136000,279.11,274.4,987,93,278.71,279.82,5.1,160,90,500,Rain,light rain,10d
Count: 168,200,2803091,0.003561482,168,1583139600,279.34,275.24,987,100,278.71,279.82,4.6,160,90,500,Rain,light rain,10d
Count: 168,200,2803091,0.003561482,168,1583143200,279.85,275.99,986,93,278.71,280.93,4.1,170,75,500,Rain,light rain,10d
Count: 168,200,2803091,0.003561482,168,1583146800,280.43,277.39,987,93,279.82,281.15,3.1,180,75,500,Rain,light rain,10d
Count: 168,200,2803091,0.003561482,168,1583150400,280.67,276.43,987,87,279.82,281.48,4.6,250,100,501,Rain,moderate rain,10d
Count: 168,200,2803091,0.003561482,168,1583154000,281.12,277.32,987,87,280.15,282.04,4.1,260,75,500,Rain,light rain,10d
Count: 168,200,2803091,0.003561482,168,1583157600,281.21,277.78,988,87,280.15,282.04,3.6,280,90,804,Clouds,overcast clouds,04d
Count: 168,200,2803091,0.003561482,168,1583161200,280.69,276.8,988,87,279.82,281.48,4.1,270,100,500,Rain,light rain,10d
Count: 168,200,2803091,0.003561482,168,1583164800,280.21,274.6,990,93,279.26,281.48,6.7,310,100,500,Rain,light rain,10d
Count: 168,200,2803091,0.003561482,168,1583168400,279.95,272.5,992,81,279.26,280.37,8.7,310,100,500,Rain,light rain,10d
Count: 168,200,2803091,0.003561482,168,1583172000,279.34,272.83,993,81,278.71,280.37,7.2,300,75,803,Clouds,broken clouds,04n
Count: 168,200,2803091,0.003561482,168,1583175600,278.52,274.54,995,86,276.48,280.15,3.6,290,100,500,Rain,light rain,10n
Count: 168,200,2803091,0.003561482,168,1583179200,277.74,274.32,995,86,275.93,279.82,2.6,230,20,801,Clouds,few clouds,02n
Count: 168,200,2803091,0.003561482,168,1583182800,277.4,274.47,996,93,275.93,279.26,2.1,220,0,800,Clear,clear sky,01n
Count: 168,200,2803091,0.003561482,168,1583186400,277.14,272.92,997,86,275.37,279.82,3.6,250,0,800,Clear,clear sky,01n
Count: 168,200,2803091,0.003561482,168,1583190000,277.27,272.56,998,80,274.82,280.37,4.1,250,4,800,Clear,clear sky,01n
Count: 168,200,2803091,0.003561482,168,1583193600,276.99,273.1,999,86,273.71,280.37,3.1,260,4,800,Clear,clear sky,01n
Count: 168,200,2803091,0.003561482,168,1583197200,276.5,271.81,999,85,274.26,279.82,4.1,230,11,500,Rain,light rain,10n
Count: 168,200,2803091,0.003561482,168,1583200800,275.77,270.85,1000,80,274.26,278.71,4.1,210,0,800,Clear,clear sky,01n
Count: 168,200,2803091,0.003561482,168,1583204400,275.3,270.13,1000,87,273.71,278.15,4.6,210,20,801,Clouds,few clouds,02n
Count: 168,200,2803091,0.003561482,168,1583208000,274.86,270.11,1000,93,273.71,277.15,4.1,190,75,803,Clouds,broken clouds,04n
Count: 168,200,2803091,0.003561482,168,1583211600,274.82,270.35,1001,90,273.71,276.48,3.6,190,4,800,Clear,clear sky,01n
Count: 168,200,2803091,0.003561482,168,1583215200,274.65,270.5,1001,90,273.71,276.15,3.1,170,4,800,Clear,clear sky,01n
Count: 168,200,2803091,0.003561482,168,1583218800,274.97,270.52,1001,90,274.15,276.48,3.6,180,20,801,Clouds,few clouds,02d
Count: 168,200,2803091,0.003561482,168,1583222400,276.09,271.18,1001,93,274.82,277.59,4.6,190,20,801,Clouds,few clouds,02d
Count: 168,200,2803091,0.003561482,168,1583226000,277.65,272.47,1002,86,276.15,279.26,5.1,200,75,500,Rain,light rain,10d
Count: 168,200,2803091,0.003561482,168,1583229600,279.51,274.82,1002,80,278.15,281.48,4.6,200,20,801,Clouds,few clouds,02d
Count: 168,200,2803091,0.003561482,168,1583233200,280.37,274.54,1002,75,279.15,281.48,6.2,230,75,803,Clouds,broken clouds,04d
Count: 168,200,2803091,0.003561482,168,1583236800,280.91,275.95,1002,75,279.15,282.04,5.1,220,95,500,Rain,light rain,10d
Count: 168,200,2803091,0.003561482,168,1583240400,280.85,275.88,1002,75,278.71,282.59,5.1,240,75,803,Clouds,broken clouds,04d
Count: 168,200,2803091,0.003561482,168,1583244000,281.17,275.31,1002,70,279.15,282.59,6.2,230,40,802,Clouds,scattered clouds,03d
Count: 168,200,2803091,0.003561482,168,1583247600,281.47,275.66,1003,70,280.93,282.59,6.2,260,75,803,Clouds,broken clouds,04d
Count: 168,200,2803091,0.003561482,168,1583251200,281.15,274.58,1003,70,278.71,282.59,7.2,230,75,803,Clouds,broken clouds,04d
Count: 168,200,2803091,0.003561482,168,1583254800,280.13,275.92,1004,70,278.15,282.04,3.6,250,75,803,Clouds,broken clouds,04d
Count: 168,200,2803091,0.003561482,168,1583258400,279.16,274.45,1005,70,277.59,280.93,4.1,240,75,500,Rain,light rain,10n
Count: 168,200,2803091,0.003561482,168,1583262000,278.59,273.94,1006,75,277.04,280.37,4.1,230,84,500,Rain,light rain,10n
Count: 168,200,2803091,0.003561482,168,1583265600,278.5,274.37,1007,81,277.04,280.37,3.6,230,75,803,Clouds,broken clouds,04n
Count: 168,200,2803091,0.003561482,168,1583269200,278.87,275.15,1008,81,277.59,280.37,3.1,230,68,500,Rain,light rain,10n
