message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2797656,0.008894898,168,1583017200,278.34,267.64,991,80,277.59,279.26,12.9,210,51,301,Drizzle,drizzle,09n
Count: 168,200,2797656,0.008894898,168,1583020800,278.53,267.01,991,75,277.59,279.26,13.9,210,51,803,Clouds,broken clouds,04n
Count: 168,200,2797656,0.008894898,168,1583024400,278.62,271.31,992,70,277.59,279.26,7.7,220,40,802,Clouds,scattered clouds,03n
Count: 168,200,2797656,0.008894898,168,1583028000,278.64,267.14,991,75,277.59,279.26,13.9,200,73,500,Rain,light rain,10n
Count: 168,200,2797656,0.008894898,168,1583031600,278.8,267.33,990,75,277.59,279.82,13.9,210,73,500,Rain,light rain,10n
Count: 168,200,2797656,0.008894898,168,1583035200,278.8,271.32,991,75,277.04,279.82,8.2,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2797656,0.008894898,168,1583038800,278.89,267.76,991,86,277.59,280.37,13.9,210,87,500,Rain,light rain,10n
Count: 168,200,2797656,0.008894898,168,1583042400,278.85,268.84,990,86,277.59,280.15,12.3,200,87,500,Rain,light rain,10n
Count: 168,200,2797656,0.008894898,168,1583046000,278.87,268.71,991,81,277.59,279.82,12.3,210,87,500,Rain,light rain,10d
Count: 168,200,2797656,0.008894898,168,1583049600,279.01,268.61,991,86,277.59,280.37,12.9,210,100,500,Rain,light rain,10d
Count: 168,200,2797656,0.008894898,168,1583053200,279.58,272.92,992,75,278.15,280.93,7.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2797656,0.008894898,168,1583056800,280.48,273.8,992,70,279.15,281.48,7.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2797656,0.008894898,168,1583060400,281.4,273.06,994,70,279.82,282.59,9.8,220,100,500,Rain,light rain,10d
Count: 168,200,2797656,0.008894898,168,1583064000,281.73,271.46,992,75,280.93,282.59,12.9,210,100,500,Rain,light rain,10d
