message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2799496,0.012101739,168,1583017200,278.34,267.64,991,80,277.59,279.26,12.9,210,58,301,Drizzle,drizzle,09n
Count: 168,200,2799496,0.012101739,168,1583020800,278.53,267.01,991,75,277.59,279.26,13.9,210,58,803,Clouds,broken clouds,04n
Count: 168,200,2799496,0.012101739,168,1583024400,278.68,271.38,992,70,277.59,279.82,7.7,220,40,802,Clouds,scattered clouds,03n
Count: 168,200,2799496,0.012101739,168,1583028000,278.65,267.15,991,75,277.59,279.26,13.9,200,80,803,Clouds,broken clouds,04n
Count: 168,200,2799496,0.012101739,168,1583031600,278.82,267.35,990,75,277.59,279.82,13.9,210,80,803,Clouds,broken clouds,04n
Count: 168,200,2799496,0.012101739,168,1583035200,278.86,271.39,991,75,277.04,279.82,8.2,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2799496,0.012101739,168,1583038800,278.93,267.81,991,86,277.59,280.37,13.9,210,89,500,Rain,light rain,10n
Count: 168,200,2799496,0.012101739,168,1583042400,278.92,268.92,990,86,277.59,280.15,12.3,200,89,500,Rain,light rain,10n
Count: 168,200,2799496,0.012101739,168,1583046000,278.93,268.78,991,81,277.59,279.82,12.3,210,89,500,Rain,light rain,10d
Count: 168,200,2799496,0.012101739,168,1583049600,279.04,268.64,991,86,277.59,280.37,12.9,210,100,500,Rain,light rain,10d
Count: 168,200,2799496,0.012101739,168,1583053200,279.64,272.99,992,75,278.15,280.93,7.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2799496,0.012101739,168,1583056800,280.45,273.77,992,70,279.15,281.48,7.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2799496,0.012101739,168,1583060400,281.46,273.13,994,70,279.82,283.15,9.8,220,98,500,Rain,light rain,10d
Count: 168,200,2799496,0.012101739,168,1583064000,281.72,271.45,992,75,280.93,282.59,12.9,210,86,500,Rain,light rain,10d
Count: 168,200,2799496,0.012101739,168,1583067600,281.97,271.74,992,75,279.26,283.71,12.9,210,83,803,Clouds,broken clouds,04d
Count: 168,200,2799496,0.012101739,168,1583071200,282.0,275.08,993,66,279.26,283.15,7.7,210,100,804,Clouds,overcast clouds,04d
Count: 168,200,2799496,0.012101739,168,1583074800,281.93,275.7,992,66,279.82,283.15,6.7,220,100,804,Clouds,overcast clouds,04d
Count: 168,200,2799496,0.012101739,168,1583078400,281.5,275.39,990,81,279.82,282.59,7.2,220,100,804,Clouds,overcast clouds,04d
Count: 168,200,2799496,0.012101739,168,1583082000,281.0,275.14,990,81,279.82,282.15,6.7,210,100,804,Clouds,overcast clouds,04d
Count: 168,200,2799496,0.012101739,168,1583085600,280.35,274.72,990,81,279.15,281.48,6.2,200,100,804,Clouds,overcast clouds,04n
Count: 168,200,2799496,0.012101739,168,1583089200,279.94,273.89,991,81,278.71,281.15,6.7,220,100,804,Clouds,overcast clouds,04n
Count: 168,200,2799496,0.012101739,168,1583092800,279.61,273.5,991,81,278.15,281.15,6.7,220,99,804,Clouds,overcast clouds,04n
Count: 168,200,2799496,0.012101739,168,1583096400,279.21,272.68,991,81,278.15,280.37,7.2,220,99,804,Clouds,overcast clouds,04n
Count: 168,200,2799496,0.012101739,168,1583100000,278.74,271.78,991,81,277.59,279.82,7.7,210,99,804,Clouds,overcast clouds,04n
Count: 168,200,2799496,0.012101739,168,1583103600,278.3,271.26,991,81,277.04,279.26,7.7,200,50,802,Clouds,scattered clouds,03n
Count: 168,200,2799496,0.012101739,168,1583107200,278.02,270.59,991,81,277.04,279.26,8.2,200,50,802,Clouds,scattered clouds,03n
Count: 168,200,2799496,0.012101739,168,1583110800,277.82,270.5,991,86,277.04,278.71,8.2,190,51,803,Clouds,broken clouds,04n
Count: 168,200,2799496,0.012101739,168,1583114400,277.68,269.56,990,86,277.04,278.15,9.3,190,90,804,Clouds,overcast clouds,04n
Count: 168,200,2799496,0.012101739,168,1583118000,277.79,270.46,989,86,277.04,278.15,8.2,180,90,804,Clouds,overcast clouds,04n
Count: 168,200,2799496,0.012101739,168,1583121600,278.15,270.53,989,86,277.59,278.71,8.7,170,90,804,Clouds,overcast clouds,04n
Count: 168,200,2799496,0.012101739,168,1583125200,278.42,275.12,988,86,277.59,279.26,2.6,140,75,310,Drizzle,light intensity drizzle rain,09n
Count: 168,200,2799496,0.012101739,168,1583128800,278.56,275.84,988,93,278.15,279.26,2.1,150,90,301,Drizzle,drizzle,09n
Count: 168,200,2799496,0.012101739,168,1583132400,278.73,274.99,987,93,278.15,279.26,3.6,160,90,301,Drizzle,drizzle,09d
Count: 168,200,2799496,0.012101739,168,1583136000,279.15,272.63,987,93,278.71,279.82,7.7,170,100,302,Drizzle,heavy intensity drizzle,09d
Count: 168,200,2799496,0.012101739,168,1583139600,279.57,277.05,987,93,278.71,280.37,2.1,170,75,803,Clouds,broken clouds,04d
Count: 168,200,2799496,0.012101739,168,1583143200,280.18,277.79,987,93,279.15,280.93,2.1,160,75,312,Drizzle,heavy intensity drizzle rain,09d
Count: 168,200,2799496,0.012101739,168,1583146800,280.53,278.63,987,93,279.82,281.48,1.5,190,75,500,Rain,light rain,10d
Count: 168,200,2799496,0.012101739,168,1583150400,280.81,278.2,987,93,280.15,281.48,2.6,180,75,311,Drizzle,drizzle rain,09d
Count: 168,200,2799496,0.012101739,168,1583154000,281.06,279.1,987,100,280.15,282.04,2.1,220,75,312,Drizzle,heavy intensity drizzle rain,09d
Count: 168,200,2799496,0.012101739,168,1583157600,281.12,278.93,987,93,280.15,282.04,2.1,220,75,310,Drizzle,light intensity drizzle rain,09d
Count: 168,200,2799496,0.012101739,168,1583161200,280.97,278.05,988,93,280.15,281.48,3.1,280,75,500,Rain,light rain,10d
Count: 168,200,2799496,0.012101739,168,1583164800,280.51,274.97,989,93,279.82,281.48,6.7,310,100,520,Rain,light intensity shower rain,09d
Count: 168,200,2799496,0.012101739,168,1583168400,280.13,276.33,990,93,279.26,280.93,4.1,290,75,311,Drizzle,drizzle rain,09d
Count: 168,200,2799496,0.012101739,168,1583172000,279.8,274.07,992,81,279.15,280.37,6.2,310,100,500,Rain,light rain,10n
Count: 168,200,2799496,0.012101739,168,1583175600,279.25,274.38,994,87,278.15,280.15,5.1,300,100,500,Rain,light rain,10n
Count: 168,200,2799496,0.012101739,168,1583179200,278.71,274.43,994,75,277.04,280.15,3.6,310,97,804,Clouds,overcast clouds,04n
Count: 168,200,2799496,0.012101739,168,1583182800,278.11,274.44,995,75,276.48,279.26,2.6,300,97,804,Clouds,overcast clouds,04n
Count: 168,200,2799496,0.012101739,168,1583186400,277.39,273.56,995,86,275.93,279.15,3.1,270,97,804,Clouds,overcast clouds,04n
Count: 168,200,2799496,0.012101739,168,1583190000,276.84,272.76,996,93,275.15,279.15,3.6,230,49,802,Clouds,scattered clouds,03n
Count: 168,200,2799496,0.012101739,168,1583193600,276.8,272.53,999,86,274.82,279.26,3.6,230,49,802,Clouds,scattered clouds,03n
Count: 168,200,2799496,0.012101739,168,1583197200,276.82,272.55,997,86,274.82,279.26,3.6,290,43,802,Clouds,scattered clouds,03n
Count: 168,200,2799496,0.012101739,168,1583200800,276.24,271.53,1000,86,274.26,278.71,4.1,230,0,800,Clear,clear sky,01n
Count: 168,200,2799496,0.012101739,168,1583204400,275.64,270.49,1000,86,274.26,277.04,4.6,230,0,800,Clear,clear sky,01n
Count: 168,200,2799496,0.012101739,168,1583208000,275.41,268.76,999,86,273.71,277.15,6.7,220,0,800,Clear,clear sky,01n
