message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2791385,0.00538708,168,1583017200,278.35,267.65,991,80,277.59,279.26,12.9,210,58,301,Drizzle,drizzle,09n
Count: 168,200,2791385,0.00538708,168,1583020800,278.53,271.15,995,80,277.59,279.26,8.2,210,58,803,Clouds,broken clouds,04n
Count: 168,200,2791385,0.00538708,168,1583024400,278.62,271.31,992,70,277.59,279.26,7.7,220,40,802,Clouds,scattered clouds,03n
Count: 168,200,2791385,0.00538708,168,1583028000,278.64,269.81,994,80,277.59,279.26,10.3,210,80,803,Clouds,broken clouds,04n
Count: 168,200,2791385,0.00538708,168,1583031600,278.82,269.87,994,75,277.59,279.82,10.3,210,80,803,Clouds,broken clouds,04n
Count: 168,200,2791385,0.00538708,168,1583035200,278.85,271.37,991,75,277.04,279.82,8.2,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2791385,0.00538708,168,1583038800,278.93,270.0,994,75,277.59,280.37,10.3,220,89,500,Rain,light rain,10n
Count: 168,200,2791385,0.00538708,168,1583042400,278.89,271.07,994,75,277.59,280.15,8.7,210,89,500,Rain,light rain,10n
Count: 168,200,2791385,0.00538708,168,1583046000,278.92,271.81,994,75,277.59,279.82,7.7,220,89,500,Rain,light rain,10d
Count: 168,200,2791385,0.00538708,168,1583049600,279.01,271.36,994,80,277.59,280.37,8.7,210,100,500,Rain,light rain,10d
Count: 168,200,2791385,0.00538708,168,1583053200,279.65,273.0,992,75,278.15,280.93,7.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2791385,0.00538708,168,1583056800,280.47,273.79,992,70,279.15,281.48,7.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2791385,0.00538708,168,1583060400,281.44,273.1,994,70,279.82,283.15,9.8,220,86,500,Rain,light rain,10d
Count: 168,200,2791385,0.00538708,168,1583064000,281.73,273.26,994,65,280.93,282.59,9.8,220,86,500,Rain,light rain,10d
Count: 168,200,2791385,0.00538708,168,1583067600,282.12,273.91,994,61,280.37,283.71,9.3,220,83,803,Clouds,broken clouds,04d
Count: 168,200,2791385,0.00538708,168,1583071200,281.93,275.0,993,66,279.15,283.15,7.7,210,100,804,Clouds,overcast clouds,04d
Count: 168,200,2791385,0.00538708,168,1583074800,281.95,275.72,992,66,279.82,283.15,6.7,220,100,804,Clouds,overcast clouds,04d
Count: 168,200,2791385,0.00538708,168,1583078400,281.51,277.53,992,70,279.82,282.59,3.6,220,100,804,Clouds,overcast clouds,04d
Count: 168,200,2791385,0.00538708,168,1583082000,280.96,277.23,991,70,279.82,282.15,3.1,210,100,804,Clouds,overcast clouds,04d
Count: 168,200,2791385,0.00538708,168,1583085600,280.32,277.19,992,70,279.15,281.48,2.1,240,100,804,Clouds,overcast clouds,04n
Count: 168,200,2791385,0.00538708,168,1583089200,279.87,276.67,992,81,278.71,281.15,2.6,250,100,804,Clouds,overcast clouds,04n
Count: 168,200,2791385,0.00538708,168,1583092800,279.54,275.58,993,81,278.15,281.15,3.6,230,99,804,Clouds,overcast clouds,04n
Count: 168,200,2791385,0.00538708,168,1583096400,279.17,274.6,993,86,278.15,280.37,4.6,220,99,804,Clouds,overcast clouds,04n
Count: 168,200,2791385,0.00538708,168,1583100000,278.7,272.78,994,81,277.59,279.82,6.2,220,99,804,Clouds,overcast clouds,04n
Count: 168,200,2791385,0.00538708,168,1583103600,278.26,272.06,994,86,277.04,279.26,6.7,200,50,802,Clouds,scattered clouds,03n
Count: 168,200,2791385,0.00538708,168,1583107200,277.88,271.46,994,93,276.48,279.26,7.2,200,50,802,Clouds,scattered clouds,03n
Count: 168,200,2791385,0.00538708,168,1583110800,277.81,270.83,993,86,277.04,278.71,7.7,200,51,803,Clouds,broken clouds,04n
Count: 168,200,2791385,0.00538708,168,1583114400,277.72,271.63,992,93,277.04,278.15,6.7,180,90,804,Clouds,overcast clouds,04n
Count: 168,200,2791385,0.00538708,168,1583118000,277.88,272.74,991,86,277.04,278.71,5.1,170,90,804,Clouds,overcast clouds,04n
Count: 168,200,2791385,0.00538708,168,1583121600,278.18,272.32,989,86,277.59,278.71,6.2,170,90,804,Clouds,overcast clouds,04n
Count: 168,200,2791385,0.00538708,168,1583125200,278.43,272.29,989,87,277.59,279.26,6.7,170,95,500,Rain,light rain,10n
Count: 168,200,2791385,0.00538708,168,1583128800,278.57,275.85,988,93,278.15,279.26,2.1,150,90,500,Rain,light rain,10n
Count: 168,200,2791385,0.00538708,168,1583132400,278.75,275.02,987,93,278.15,279.26,3.6,160,90,301,Drizzle,drizzle,09d
Count: 168,200,2791385,0.00538708,168,1583136000,279.14,273.66,988,93,278.71,279.82,6.2,180,100,300,Drizzle,light intensity drizzle,09d
Count: 168,200,2791385,0.00538708,168,1583139600,279.57,274.18,987,93,278.71,280.37,6.2,180,100,500,Rain,light rain,10d
Count: 168,200,2791385,0.00538708,168,1583143200,280.16,277.76,987,93,279.15,280.93,2.1,160,75,501,Rain,moderate rain,10d
Count: 168,200,2791385,0.00538708,168,1583146800,280.54,278.64,987,93,279.82,281.48,1.5,190,75,500,Rain,light rain,10d
