message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2793940,0.034972566,168,1583017200,278.38,271.68,993,80,277.59,279.26,7.2,220,63,803,Clouds,broken clouds,04n
Count: 168,200,2793940,0.034972566,168,1583020800,278.57,271.25,994,70,277.59,279.26,7.7,220,63,803,Clouds,broken clouds,04n
Count: 168,200,2793940,0.034972566,168,1583024400,278.81,271.53,992,70,278.15,279.26,7.7,220,40,802,Clouds,scattered clouds,03n
Count: 168,200,2793940,0.034972566,168,1583028000,278.8,271.87,993,70,278.15,279.26,7.2,220,61,803,Clouds,broken clouds,04n
Count: 168,200,2793940,0.034972566,168,1583031600,278.95,272.19,993,75,278.15,279.82,7.2,220,61,803,Clouds,broken clouds,04n
Count: 168,200,2793940,0.034972566,168,1583035200,279.01,271.56,991,75,277.59,279.82,8.2,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2793940,0.034972566,168,1583038800,279.01,272.61,993,75,277.59,280.37,6.7,220,80,500,Rain,light rain,10n
Count: 168,200,2793940,0.034972566,168,1583042400,279.08,272.54,993,70,278.15,280.15,6.7,230,80,500,Rain,light rain,10n
Count: 168,200,2793940,0.034972566,168,1583046000,279.06,271.97,993,75,278.15,280.15,7.7,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2793940,0.034972566,168,1583049600,279.23,272.55,993,65,278.15,280.37,6.7,230,75,500,Rain,light rain,10d
Count: 168,200,2793940,0.034972566,168,1583053200,279.83,273.21,992,75,278.71,280.93,7.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2793940,0.034972566,168,1583056800,280.6,273.94,992,70,279.82,281.48,7.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2793940,0.034972566,168,1583060400,281.44,273.55,994,61,279.82,283.15,8.7,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2793940,0.034972566,168,1583064000,281.93,274.31,994,57,280.93,283.15,8.2,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2793940,0.034972566,168,1583067600,282.16,275.63,993,57,280.93,283.15,6.7,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2793940,0.034972566,168,1583071200,282.4,276.41,992,61,281.48,283.15,6.2,230,75,803,Clouds,broken clouds,04d
Count: 168,200,2793940,0.034972566,168,1583074800,282.11,275.65,992,59,279.82,283.15,6.7,230,40,802,Clouds,scattered clouds,03d
Count: 168,200,2793940,0.034972566,168,1583078400,281.61,276.12,992,57,279.82,282.59,5.1,220,20,801,Clouds,few clouds,02d
Count: 168,200,2793940,0.034972566,168,1583082000,281.17,276.67,991,57,279.82,282.15,3.6,220,20,801,Clouds,few clouds,02d
Count: 168,200,2793940,0.034972566,168,1583085600,280.48,276.51,991,65,279.15,281.48,3.1,210,100,804,Clouds,overcast clouds,04n
Count: 168,200,2793940,0.034972566,168,1583089200,279.92,275.73,992,61,278.71,281.15,3.1,230,100,804,Clouds,overcast clouds,04n
Count: 168,200,2793940,0.034972566,168,1583092800,279.71,275.59,991,75,278.71,280.93,3.6,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2793940,0.034972566,168,1583096400,279.23,274.18,992,70,278.15,280.37,4.6,240,100,804,Clouds,overcast clouds,04n
Count: 168,200,2793940,0.034972566,168,1583100000,278.79,274.17,993,75,277.59,279.82,4.1,230,100,804,Clouds,overcast clouds,04n
Count: 168,200,2793940,0.034972566,168,1583103600,278.43,273.76,993,75,277.59,279.26,4.1,220,67,803,Clouds,broken clouds,04n
Count: 168,200,2793940,0.034972566,168,1583107200,278.08,273.53,993,81,277.04,279.26,4.1,210,67,803,Clouds,broken clouds,04n
