message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2792196,0.008756876,168,1583017200,278.36,271.65,993,80,277.59,279.26,7.2,220,58,803,Clouds,broken clouds,04n
Count: 168,200,2792196,0.008756876,168,1583020800,278.55,271.23,994,70,277.59,279.26,7.7,220,58,803,Clouds,broken clouds,04n
Count: 168,200,2792196,0.008756876,168,1583024400,278.72,271.42,992,70,277.59,279.82,7.7,220,40,802,Clouds,scattered clouds,03n
Count: 168,200,2792196,0.008756876,168,1583028000,278.73,271.79,993,70,278.15,279.26,7.2,220,80,803,Clouds,broken clouds,04n
Count: 168,200,2792196,0.008756876,168,1583031600,278.85,272.07,993,75,277.59,279.82,7.2,220,80,803,Clouds,broken clouds,04n
Count: 168,200,2792196,0.008756876,168,1583035200,279.0,271.55,991,75,277.59,279.82,8.2,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2792196,0.008756876,168,1583038800,278.96,271.3,991,80,277.59,280.37,8.7,220,75,300,Drizzle,light intensity drizzle,09n
Count: 168,200,2792196,0.008756876,168,1583042400,278.97,272.41,993,70,277.59,280.15,6.7,230,89,500,Rain,light rain,10n
Count: 168,200,2792196,0.008756876,168,1583046000,278.97,271.86,993,75,277.59,279.82,7.7,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2792196,0.008756876,168,1583049600,279.11,272.42,993,65,277.59,280.37,6.7,230,75,803,Clouds,broken clouds,04d
Count: 168,200,2792196,0.008756876,168,1583053200,279.77,273.14,992,75,278.71,280.93,7.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2792196,0.008756876,168,1583056800,280.52,273.85,992,70,279.15,281.48,7.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2792196,0.008756876,168,1583060400,281.39,273.49,994,61,279.82,282.59,8.7,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2792196,0.008756876,168,1583064000,281.74,274.1,994,57,280.93,282.59,8.2,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2792196,0.008756876,168,1583067600,282.12,275.58,993,57,280.37,283.71,6.7,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2792196,0.008756876,168,1583071200,282.33,276.33,992,61,279.82,283.15,6.2,230,75,803,Clouds,broken clouds,04d
Count: 168,200,2792196,0.008756876,168,1583074800,281.97,275.48,992,59,279.82,283.15,6.7,230,40,802,Clouds,scattered clouds,03d
Count: 168,200,2792196,0.008756876,168,1583078400,281.54,276.04,992,57,279.82,282.59,5.1,220,20,801,Clouds,few clouds,02d
Count: 168,200,2792196,0.008756876,168,1583082000,281.05,276.53,991,57,279.82,282.15,3.6,220,20,801,Clouds,few clouds,02d
Count: 168,200,2792196,0.008756876,168,1583085600,280.38,276.39,991,65,279.15,281.48,3.1,210,100,804,Clouds,overcast clouds,04n
Count: 168,200,2792196,0.008756876,168,1583089200,279.92,275.73,992,61,278.71,281.15,3.1,230,100,804,Clouds,overcast clouds,04n
