message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2786087,0.006076853,168,1583017200,278.35,271.85,992,75,277.59,279.26,6.7,220,20,500,Rain,light rain,10n
Count: 168,200,2786087,0.006076853,168,1583020800,278.54,271.72,992,75,277.59,279.26,7.2,220,20,801,Clouds,few clouds,02n
Count: 168,200,2786087,0.006076853,168,1583024400,278.69,271.39,992,70,277.59,279.26,7.7,220,40,802,Clouds,scattered clouds,03n
Count: 168,200,2786087,0.006076853,168,1583028000,278.75,270.76,992,70,278.15,279.26,8.7,220,20,801,Clouds,few clouds,02n
Count: 168,200,2786087,0.006076853,168,1583031600,278.83,270.43,992,70,277.59,279.82,9.3,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2786087,0.006076853,168,1583035200,278.94,271.48,991,75,277.59,279.82,8.2,220,90,500,Rain,light rain,10n
Count: 168,200,2786087,0.006076853,168,1583038800,278.88,271.21,991,80,277.59,280.37,8.7,220,75,500,Rain,light rain,10n
Count: 168,200,2786087,0.006076853,168,1583042400,278.89,272.82,991,75,277.59,280.15,6.2,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2786087,0.006076853,168,1583046000,278.9,271.08,991,75,277.59,279.82,8.7,220,90,500,Rain,light rain,10d
Count: 168,200,2786087,0.006076853,168,1583049600,279.06,272.32,992,75,277.59,280.37,7.2,220,75,500,Rain,light rain,10d
Count: 168,200,2786087,0.006076853,168,1583053200,279.65,273.0,992,75,278.15,280.93,7.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2786087,0.006076853,168,1583056800,280.48,273.8,992,70,279.15,281.48,7.2,220,75,500,Rain,light rain,10d
Count: 168,200,2786087,0.006076853,168,1583060400,281.19,273.75,992,65,279.26,282.59,8.2,230,90,804,Clouds,overcast clouds,04d
Count: 168,200,2786087,0.006076853,168,1583064000,281.85,275.92,993,65,280.93,283.15,6.2,220,90,500,Rain,light rain,10d
Count: 168,200,2786087,0.006076853,168,1583067600,282.12,275.38,992,61,280.37,283.71,7.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2786087,0.006076853,168,1583071200,282.21,275.49,992,61,279.82,283.15,7.2,220,75,500,Rain,light rain,10d
Count: 168,200,2786087,0.006076853,168,1583074800,281.62,275.86,991,61,279.15,283.15,5.7,220,90,804,Clouds,overcast clouds,04d
Count: 168,200,2786087,0.006076853,168,1583078400,281.37,276.83,991,65,279.82,282.59,4.1,230,90,804,Clouds,overcast clouds,04d
Count: 168,200,2786087,0.006076853,168,1583082000,280.87,277.51,990,81,279.26,282.15,3.1,250,90,500,Rain,light rain,10d
Count: 168,200,2786087,0.006076853,168,1583085600,280.26,277.68,991,87,278.71,281.48,2.1,250,90,804,Clouds,overcast clouds,04n
Count: 168,200,2786087,0.006076853,168,1583089200,279.86,277.01,991,81,278.71,281.15,2.1,230,90,804,Clouds,overcast clouds,04n
Count: 168,200,2786087,0.006076853,168,1583092800,279.63,275.5,991,75,278.15,281.15,3.6,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2786087,0.006076853,168,1583096400,279.21,275.01,991,75,278.15,280.37,3.6,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2786087,0.006076853,168,1583100000,278.75,274.13,992,75,277.59,279.82,4.1,220,20,801,Clouds,few clouds,02n
Count: 168,200,2786087,0.006076853,168,1583103600,278.35,273.81,992,80,277.04,279.26,4.1,220,50,500,Rain,light rain,10n
Count: 168,200,2786087,0.006076853,168,1583107200,278.06,272.78,991,80,277.04,279.26,5.1,220,50,802,Clouds,scattered clouds,03n
Count: 168,200,2786087,0.006076853,168,1583110800,277.88,272.74,992,86,277.04,278.71,5.1,220,20,801,Clouds,few clouds,02n
Count: 168,200,2786087,0.006076853,168,1583114400,277.7,273.06,991,80,276.48,278.71,4.1,200,75,803,Clouds,broken clouds,04n
Count: 168,200,2786087,0.006076853,168,1583118000,277.78,273.5,990,80,277.04,278.71,3.6,180,90,500,Rain,light rain,10n
Count: 168,200,2786087,0.006076853,168,1583121600,277.99,273.92,989,86,277.04,278.71,3.6,190,90,804,Clouds,overcast clouds,04n
Count: 168,200,2786087,0.006076853,168,1583125200,278.26,274.93,988,86,277.59,279.26,2.6,140,75,310,Drizzle,light intensity drizzle rain,09n
Count: 168,200,2786087,0.006076853,168,1583128800,278.37,275.62,988,93,277.59,279.26,2.1,150,90,301,Drizzle,drizzle,09n
Count: 168,200,2786087,0.006076853,168,1583132400,278.64,274.89,987,93,278.15,279.26,3.6,160,90,301,Drizzle,drizzle,09d
