message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2803448,0.004588158,168,1583017200,278.34,270.16,994,80,277.59,279.26,9.3,220,58,803,Clouds,broken clouds,04n
Count: 168,200,2803448,0.004588158,168,1583020800,278.58,270.09,994,80,277.59,279.82,9.8,210,20,801,Clouds,few clouds,02n
Count: 168,200,2803448,0.004588158,168,1583024400,278.7,271.4,992,70,277.59,279.82,7.7,220,40,802,Clouds,scattered clouds,03n
Count: 168,200,2803448,0.004588158,168,1583028000,278.73,270.47,994,75,277.59,279.82,9.3,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2803448,0.004588158,168,1583031600,278.94,270.98,994,70,278.15,279.82,8.7,220,40,802,Clouds,scattered clouds,03n
Count: 168,200,2803448,0.004588158,168,1583035200,279.06,271.62,991,75,277.59,279.82,8.2,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2803448,0.004588158,168,1583038800,279.05,270.14,993,75,277.59,280.37,10.3,220,40,802,Clouds,scattered clouds,03n
Count: 168,200,2803448,0.004588158,168,1583042400,279.15,270.25,993,75,278.15,280.15,10.3,230,75,803,Clouds,broken clouds,04n
Count: 168,200,2803448,0.004588158,168,1583046000,279.08,271.29,993,75,278.15,279.82,8.7,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2803448,0.004588158,168,1583049600,279.26,270.73,994,75,278.15,280.37,9.8,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2803448,0.004588158,168,1583053200,279.88,273.27,992,75,278.71,280.93,7.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2803448,0.004588158,168,1583056800,280.61,271.96,994,65,279.82,281.48,9.8,230,40,802,Clouds,scattered clouds,03d
Count: 168,200,2803448,0.004588158,168,1583060400,281.45,274.24,994,70,279.82,282.59,8.2,240,75,803,Clouds,broken clouds,04d
Count: 168,200,2803448,0.004588158,168,1583064000,281.9,274.23,994,65,280.93,283.15,8.7,230,20,801,Clouds,few clouds,02d
Count: 168,200,2803448,0.004588158,168,1583067600,282.1,274.81,994,65,281.15,283.15,8.2,220,20,801,Clouds,few clouds,02d
Count: 168,200,2803448,0.004588158,168,1583071200,282.35,276.35,993,61,281.15,283.15,6.2,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2803448,0.004588158,168,1583074800,282.31,275.95,992,61,281.15,283.15,6.7,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2803448,0.004588158,168,1583078400,281.77,277.68,992,66,280.37,282.59,3.6,240,20,801,Clouds,few clouds,02d
Count: 168,200,2803448,0.004588158,168,1583082000,281.16,276.94,991,65,279.82,282.15,3.6,240,20,801,Clouds,few clouds,02d
Count: 168,200,2803448,0.004588158,168,1583085600,280.46,276.83,991,65,279.15,281.48,2.6,250,20,801,Clouds,few clouds,02n
Count: 168,200,2803448,0.004588158,168,1583089200,279.96,276.07,991,70,278.15,281.48,3.1,240,20,801,Clouds,few clouds,02n
Count: 168,200,2803448,0.004588158,168,1583092800,279.72,275.09,992,70,278.15,281.48,4.1,250,99,804,Clouds,overcast clouds,04n
Count: 168,200,2803448,0.004588158,168,1583096400,279.18,273.77,993,70,277.59,280.37,5.1,260,99,804,Clouds,overcast clouds,04n
Count: 168,200,2803448,0.004588158,168,1583100000,278.75,272.66,993,75,277.59,279.82,6.2,240,99,804,Clouds,overcast clouds,04n
Count: 168,200,2803448,0.004588158,168,1583103600,278.33,272.0,993,81,277.04,279.26,6.7,230,50,802,Clouds,scattered clouds,03n
Count: 168,200,2803448,0.004588158,168,1583107200,277.94,272.22,993,80,276.48,279.26,5.7,210,50,802,Clouds,scattered clouds,03n
Count: 168,200,2803448,0.004588158,168,1583110800,277.7,271.59,993,80,276.48,278.71,6.2,200,51,803,Clouds,broken clouds,04n
Count: 168,200,2803448,0.004588158,168,1583114400,277.6,271.64,992,86,276.48,278.71,6.2,190,90,804,Clouds,overcast clouds,04n
Count: 168,200,2803448,0.004588158,168,1583118000,277.81,272.23,991,86,277.04,278.71,5.7,190,20,801,Clouds,few clouds,02n
Count: 168,200,2803448,0.004588158,168,1583121600,278.18,273.09,990,86,277.59,278.71,5.1,170,90,804,Clouds,overcast clouds,04n
Count: 168,200,2803448,0.004588158,168,1583125200,278.45,272.31,989,87,277.59,279.26,6.7,170,95,500,Rain,light rain,10n
Count: 168,200,2803448,0.004588158,168,1583128800,278.56,275.84,988,93,278.15,279.26,2.1,150,90,301,Drizzle,drizzle,09n
Count: 168,200,2803448,0.004588158,168,1583132400,278.72,274.98,987,93,278.15,279.26,3.6,160,90,301,Drizzle,drizzle,09d
Count: 168,200,2803448,0.004588158,168,1583136000,279.14,274.6,988,87,278.71,279.82,4.6,170,75,803,Clouds,broken clouds,04d
Count: 168,200,2803448,0.004588158,168,1583139600,279.62,274.4,988,87,278.71,280.37,5.7,180,75,500,Rain,light rain,10d
Count: 168,200,2803448,0.004588158,168,1583143200,280.34,275.68,987,87,279.82,280.93,5.1,180,75,803,Clouds,broken clouds,04d
Count: 168,200,2803448,0.004588158,168,1583146800,280.61,278.73,987,93,279.82,281.48,1.5,190,75,500,Rain,light rain,10d
Count: 168,200,2803448,0.004588158,168,1583150400,280.88,278.29,987,93,280.15,281.48,2.6,180,75,311,Drizzle,drizzle rain,09d
Count: 168,200,2803448,0.004588158,168,1583154000,281.16,279.23,987,100,280.15,282.04,2.1,220,75,312,Drizzle,heavy intensity drizzle rain,09d
Count: 168,200,2803448,0.004588158,168,1583157600,281.08,278.88,987,93,280.15,282.04,2.1,220,75,310,Drizzle,light intensity drizzle rain,09d
Count: 168,200,2803448,0.004588158,168,1583161200,280.98,278.06,988,93,280.15,281.48,3.1,280,75,500,Rain,light rain,10d
Count: 168,200,2803448,0.004588158,168,1583164800,280.57,277.91,989,93,279.82,281.48,2.6,240,75,500,Rain,light rain,10d
