message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2796833,0.005645586,168,1583017200,278.32,270.14,994,80,277.59,279.26,9.3,220,58,803,Clouds,broken clouds,04n
Count: 168,200,2796833,0.005645586,168,1583020800,278.55,271.18,995,80,277.59,279.82,8.2,210,58,803,Clouds,broken clouds,04n
Count: 168,200,2796833,0.005645586,168,1583024400,278.68,271.38,992,70,277.59,279.82,7.7,220,40,802,Clouds,scattered clouds,03n
Count: 168,200,2796833,0.005645586,168,1583028000,278.69,269.87,994,80,277.59,279.82,10.3,210,80,803,Clouds,broken clouds,04n
Count: 168,200,2796833,0.005645586,168,1583031600,278.92,269.99,994,75,278.15,279.82,10.3,210,80,803,Clouds,broken clouds,04n
Count: 168,200,2796833,0.005645586,168,1583035200,279.06,271.62,991,75,277.59,279.82,8.2,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2796833,0.005645586,168,1583038800,279.03,270.11,994,75,277.59,280.37,10.3,220,89,500,Rain,light rain,10n
Count: 168,200,2796833,0.005645586,168,1583042400,279.15,271.37,994,75,278.15,280.15,8.7,210,89,500,Rain,light rain,10n
Count: 168,200,2796833,0.005645586,168,1583046000,279.07,271.98,994,75,278.15,279.82,7.7,220,89,500,Rain,light rain,10d
Count: 168,200,2796833,0.005645586,168,1583049600,279.23,271.62,994,80,278.15,280.37,8.7,210,100,500,Rain,light rain,10d
Count: 168,200,2796833,0.005645586,168,1583053200,279.84,273.22,992,75,278.71,280.93,7.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2796833,0.005645586,168,1583056800,280.59,271.41,995,70,279.82,281.48,10.8,220,100,500,Rain,light rain,10d
Count: 168,200,2796833,0.005645586,168,1583060400,281.47,273.14,994,70,280.15,282.59,9.8,220,86,500,Rain,light rain,10d
Count: 168,200,2796833,0.005645586,168,1583064000,281.89,273.45,994,65,280.93,283.15,9.8,220,86,500,Rain,light rain,10d
Count: 168,200,2796833,0.005645586,168,1583067600,282.12,273.91,994,61,281.15,283.15,9.3,220,83,803,Clouds,broken clouds,04d
Count: 168,200,2796833,0.005645586,168,1583071200,282.38,275.53,993,66,281.15,283.71,7.7,210,100,804,Clouds,overcast clouds,04d
Count: 168,200,2796833,0.005645586,168,1583074800,282.25,276.07,992,66,280.37,283.15,6.7,220,100,804,Clouds,overcast clouds,04d
Count: 168,200,2796833,0.005645586,168,1583078400,281.73,277.78,992,70,280.37,282.59,3.6,220,100,804,Clouds,overcast clouds,04d
Count: 168,200,2796833,0.005645586,168,1583082000,281.17,277.48,991,70,280.15,282.15,3.1,210,100,804,Clouds,overcast clouds,04d
Count: 168,200,2796833,0.005645586,168,1583085600,280.45,277.34,992,70,279.15,281.48,2.1,240,100,804,Clouds,overcast clouds,04n
Count: 168,200,2796833,0.005645586,168,1583089200,279.93,276.74,992,81,278.15,281.48,2.6,250,100,804,Clouds,overcast clouds,04n
Count: 168,200,2796833,0.005645586,168,1583092800,279.63,275.69,993,81,277.59,281.48,3.6,230,99,804,Clouds,overcast clouds,04n
Count: 168,200,2796833,0.005645586,168,1583096400,279.15,274.58,993,86,277.59,280.37,4.6,220,99,804,Clouds,overcast clouds,04n
