message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2787769,0.005790773,168,1583017200,278.11,270.31,994,80,277.59,278.71,8.7,200,20,801,Clouds,few clouds,02n
Count: 168,200,2787769,0.005790773,168,1583020800,278.2,270.77,995,80,277.59,279.26,8.2,210,81,803,Clouds,broken clouds,04n
Count: 168,200,2787769,0.005790773,168,1583024400,278.32,270.14,995,80,277.59,279.26,9.3,210,49,802,Clouds,scattered clouds,03n
Count: 168,200,2787769,0.005790773,168,1583028000,278.33,269.45,994,80,277.59,279.26,10.3,210,94,804,Clouds,overcast clouds,04n
Count: 168,200,2787769,0.005790773,168,1583031600,278.51,269.51,994,75,277.04,279.82,10.3,210,94,804,Clouds,overcast clouds,04n
Count: 168,200,2787769,0.005790773,168,1583035200,278.48,270.18,994,75,277.04,279.82,9.3,210,94,804,Clouds,overcast clouds,04n
Count: 168,200,2787769,0.005790773,168,1583038800,278.68,269.71,994,75,277.59,279.82,10.3,220,97,500,Rain,light rain,10n
Count: 168,200,2787769,0.005790773,168,1583042400,278.62,270.76,994,75,277.59,279.82,8.7,210,97,500,Rain,light rain,10n
Count: 168,200,2787769,0.005790773,168,1583046000,278.52,271.34,994,75,277.04,279.82,7.7,220,97,500,Rain,light rain,10d
Count: 168,200,2787769,0.005790773,168,1583049600,278.8,271.12,994,80,277.59,279.82,8.7,210,100,500,Rain,light rain,10d
Count: 168,200,2787769,0.005790773,168,1583053200,279.34,270.47,995,75,278.15,280.37,10.3,210,100,500,Rain,light rain,10d
Count: 168,200,2787769,0.005790773,168,1583056800,280.49,271.3,995,70,279.82,280.93,10.8,220,100,500,Rain,light rain,10d
Count: 168,200,2787769,0.005790773,168,1583060400,281.35,273.0,994,70,280.15,282.59,9.8,220,92,804,Clouds,overcast clouds,04d
Count: 168,200,2787769,0.005790773,168,1583064000,281.62,273.13,994,65,280.93,282.59,9.8,220,91,804,Clouds,overcast clouds,04d
Count: 168,200,2787769,0.005790773,168,1583067600,281.93,273.69,994,61,280.37,283.15,9.3,220,72,803,Clouds,broken clouds,04d
Count: 168,200,2787769,0.005790773,168,1583071200,282.26,275.39,993,66,281.15,283.71,7.7,210,100,804,Clouds,overcast clouds,04d
Count: 168,200,2787769,0.005790773,168,1583074800,282.0,275.78,992,66,280.37,283.15,6.7,220,100,804,Clouds,overcast clouds,04d
Count: 168,200,2787769,0.005790773,168,1583078400,281.37,277.36,992,70,280.37,282.59,3.6,220,100,804,Clouds,overcast clouds,04d
Count: 168,200,2787769,0.005790773,168,1583082000,280.62,276.84,991,70,279.82,281.48,3.1,210,100,500,Rain,light rain,10d
Count: 168,200,2787769,0.005790773,168,1583085600,279.86,276.66,992,70,278.15,281.48,2.1,240,100,500,Rain,light rain,10n
Count: 168,200,2787769,0.005790773,168,1583089200,279.34,276.05,992,81,278.15,280.37,2.6,250,100,500,Rain,light rain,10n
Count: 168,200,2787769,0.005790773,168,1583092800,278.96,274.9,993,81,277.59,280.37,3.6,230,67,803,Clouds,broken clouds,04n
Count: 168,200,2787769,0.005790773,168,1583096400,278.6,273.93,993,86,277.59,279.82,4.6,220,67,803,Clouds,broken clouds,04n
Count: 168,200,2787769,0.005790773,168,1583100000,278.24,272.24,994,81,277.04,279.26,6.2,220,67,803,Clouds,broken clouds,04n
Count: 168,200,2787769,0.005790773,168,1583103600,277.67,271.37,994,86,276.48,279.15,6.7,200,42,802,Clouds,scattered clouds,03n
Count: 168,200,2787769,0.005790773,168,1583107200,277.4,270.9,994,93,276.15,278.15,7.2,200,42,802,Clouds,scattered clouds,03n
Count: 168,200,2787769,0.005790773,168,1583110800,277.5,270.47,993,86,276.48,278.15,7.7,200,38,802,Clouds,scattered clouds,03n
Count: 168,200,2787769,0.005790773,168,1583114400,277.67,271.57,992,93,277.04,278.15,6.7,180,100,500,Rain,light rain,10n
Count: 168,200,2787769,0.005790773,168,1583118000,277.9,272.76,991,86,277.04,278.71,5.1,170,100,500,Rain,light rain,10n
Count: 168,200,2787769,0.005790773,168,1583121600,278.18,272.32,989,86,277.59,278.71,6.2,170,100,500,Rain,light rain,10n
Count: 168,200,2787769,0.005790773,168,1583125200,278.48,272.35,989,87,277.59,279.26,6.7,170,100,500,Rain,light rain,10n
Count: 168,200,2787769,0.005790773,168,1583128800,278.64,273.24,988,87,277.59,279.26,5.7,180,100,500,Rain,light rain,10n
