message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2789529,0.042159686,168,1583017200,278.18,270.4,994,80,277.59,278.71,8.7,200,20,801,Clouds,few clouds,02n
Count: 168,200,2789529,0.042159686,168,1583020800,278.35,270.94,995,80,277.59,279.26,8.2,210,51,803,Clouds,broken clouds,04n
Count: 168,200,2789529,0.042159686,168,1583024400,278.44,270.28,995,80,277.59,279.26,9.3,210,47,802,Clouds,scattered clouds,03n
Count: 168,200,2789529,0.042159686,168,1583028000,278.46,269.6,994,80,277.59,279.26,10.3,210,73,500,Rain,light rain,10n
Count: 168,200,2789529,0.042159686,168,1583031600,278.57,269.58,994,75,277.04,279.82,10.3,210,73,500,Rain,light rain,10n
Count: 168,200,2789529,0.042159686,168,1583035200,278.52,270.22,994,75,277.04,279.82,9.3,210,73,500,Rain,light rain,10n
Count: 168,200,2789529,0.042159686,168,1583038800,278.63,269.65,994,75,277.04,279.82,10.3,220,87,500,Rain,light rain,10n
Count: 168,200,2789529,0.042159686,168,1583042400,278.61,270.75,994,75,277.15,279.82,8.7,210,87,500,Rain,light rain,10n
Count: 168,200,2789529,0.042159686,168,1583046000,278.56,271.39,994,75,277.04,279.82,7.7,220,87,500,Rain,light rain,10d
Count: 168,200,2789529,0.042159686,168,1583049600,278.83,271.15,994,80,277.59,279.82,8.7,210,100,500,Rain,light rain,10d
Count: 168,200,2789529,0.042159686,168,1583053200,279.36,270.5,995,75,278.15,280.37,10.3,210,100,500,Rain,light rain,10d
Count: 168,200,2789529,0.042159686,168,1583056800,280.53,271.34,995,70,279.82,281.48,10.8,220,100,500,Rain,light rain,10d
Count: 168,200,2789529,0.042159686,168,1583060400,281.4,273.06,994,70,280.15,282.59,9.8,220,100,500,Rain,light rain,10d
Count: 168,200,2789529,0.042159686,168,1583064000,281.64,273.16,994,65,280.93,282.59,9.8,220,100,500,Rain,light rain,10d
Count: 168,200,2789529,0.042159686,168,1583067600,282.01,273.79,994,61,280.37,283.15,9.3,220,96,500,Rain,light rain,10d
Count: 168,200,2789529,0.042159686,168,1583071200,281.8,274.85,993,66,279.15,283.15,7.7,210,100,500,Rain,light rain,10d
Count: 168,200,2789529,0.042159686,168,1583074800,281.85,275.61,992,66,279.82,283.15,6.7,220,100,500,Rain,light rain,10d
Count: 168,200,2789529,0.042159686,168,1583078400,281.43,277.43,992,70,280.15,282.59,3.6,220,100,500,Rain,light rain,10d
Count: 168,200,2789529,0.042159686,168,1583082000,280.75,276.99,991,70,279.82,282.04,3.1,210,100,804,Clouds,overcast clouds,04d
Count: 168,200,2789529,0.042159686,168,1583085600,280.03,276.85,992,70,279.15,281.15,2.1,240,100,804,Clouds,overcast clouds,04n
Count: 168,200,2789529,0.042159686,168,1583089200,279.53,276.27,992,81,278.71,280.37,2.6,250,100,804,Clouds,overcast clouds,04n
Count: 168,200,2789529,0.042159686,168,1583092800,279.16,275.14,993,81,278.15,280.37,3.6,230,71,803,Clouds,broken clouds,04n
Count: 168,200,2789529,0.042159686,168,1583096400,278.7,274.05,993,86,277.59,279.82,4.6,220,71,803,Clouds,broken clouds,04n
Count: 168,200,2789529,0.042159686,168,1583100000,278.37,272.4,994,81,277.59,279.26,6.2,220,71,803,Clouds,broken clouds,04n
Count: 168,200,2789529,0.042159686,168,1583103600,277.95,271.7,994,86,277.04,279.26,6.7,200,36,802,Clouds,scattered clouds,03n
Count: 168,200,2789529,0.042159686,168,1583107200,277.57,271.1,994,93,276.48,278.71,7.2,200,36,802,Clouds,scattered clouds,03n
Count: 168,200,2789529,0.042159686,168,1583110800,277.69,270.69,993,86,277.04,278.71,7.7,200,45,802,Clouds,scattered clouds,03n
Count: 168,200,2789529,0.042159686,168,1583114400,277.66,271.55,992,93,277.04,278.15,6.7,180,100,500,Rain,light rain,10n
Count: 168,200,2789529,0.042159686,168,1583118000,277.86,272.71,991,86,277.04,278.71,5.1,170,100,500,Rain,light rain,10n
Count: 168,200,2789529,0.042159686,168,1583121600,278.17,272.31,989,86,277.15,278.71,6.2,170,100,500,Rain,light rain,10n
Count: 168,200,2789529,0.042159686,168,1583125200,278.49,272.36,989,87,277.59,279.26,6.7,170,100,500,Rain,light rain,10n
