message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2797798,0.042014415,168,1583017200,278.3,270.53,994,80,277.59,279.26,8.7,200,20,801,Clouds,few clouds,02n
Count: 168,200,2797798,0.042014415,168,1583020800,278.47,271.08,995,80,277.59,279.26,8.2,210,51,803,Clouds,broken clouds,04n
Count: 168,200,2797798,0.042014415,168,1583024400,278.54,270.39,995,80,277.59,279.26,9.3,210,47,802,Clouds,scattered clouds,03n
Count: 168,200,2797798,0.042014415,168,1583028000,278.58,269.74,994,80,277.59,279.26,10.3,210,73,500,Rain,light rain,10n
Count: 168,200,2797798,0.042014415,168,1583031600,278.75,269.79,994,75,277.59,279.82,10.3,210,73,500,Rain,light rain,10n
Count: 168,200,2797798,0.042014415,168,1583035200,278.77,270.51,994,75,277.04,279.82,9.3,210,73,500,Rain,light rain,10n
Count: 168,200,2797798,0.042014415,168,1583038800,278.88,269.94,994,75,277.59,280.37,10.3,220,87,500,Rain,light rain,10n
Count: 168,200,2797798,0.042014415,168,1583042400,278.82,270.99,994,75,277.59,280.15,8.7,210,87,500,Rain,light rain,10n
Count: 168,200,2797798,0.042014415,168,1583046000,278.85,271.72,994,75,277.59,279.82,7.7,220,87,500,Rain,light rain,10d
Count: 168,200,2797798,0.042014415,168,1583049600,279.01,271.36,994,80,277.59,280.37,8.7,210,100,500,Rain,light rain,10d
Count: 168,200,2797798,0.042014415,168,1583053200,279.58,270.75,995,75,278.15,280.93,10.3,210,100,500,Rain,light rain,10d
Count: 168,200,2797798,0.042014415,168,1583056800,280.52,271.33,995,70,279.82,281.48,10.8,220,100,500,Rain,light rain,10d
Count: 168,200,2797798,0.042014415,168,1583060400,281.41,273.07,994,70,279.82,282.59,9.8,220,100,500,Rain,light rain,10d
Count: 168,200,2797798,0.042014415,168,1583064000,281.73,273.26,994,65,280.93,282.59,9.8,220,100,500,Rain,light rain,10d
