message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2798987,0.042583345,168,1583017200,278.33,267.63,991,80,277.59,279.26,12.9,210,51,301,Drizzle,drizzle,09n
Count: 168,200,2798987,0.042583345,168,1583020800,278.59,267.08,991,75,277.59,279.26,13.9,210,51,803,Clouds,broken clouds,04n
Count: 168,200,2798987,0.042583345,168,1583024400,278.71,266.17,991,75,277.59,279.82,15.4,200,47,802,Clouds,scattered clouds,03n
Count: 168,200,2798987,0.042583345,168,1583028000,278.63,267.13,991,75,277.59,279.26,13.9,200,73,500,Rain,light rain,10n
Count: 168,200,2798987,0.042583345,168,1583031600,278.59,267.08,990,75,277.04,279.82,13.9,210,73,500,Rain,light rain,10n
Count: 168,200,2798987,0.042583345,168,1583035200,278.42,269.03,991,86,276.48,279.82,11.3,220,73,300,Drizzle,light intensity drizzle,09n
Count: 168,200,2798987,0.042583345,168,1583038800,278.48,267.28,991,86,277.04,279.82,13.9,210,87,500,Rain,light rain,10n
Count: 168,200,2798987,0.042583345,168,1583042400,278.57,268.51,990,86,277.15,280.15,12.3,200,87,500,Rain,light rain,10n
Count: 168,200,2798987,0.042583345,168,1583046000,278.55,268.33,991,81,277.04,279.82,12.3,210,87,500,Rain,light rain,10d
Count: 168,200,2798987,0.042583345,168,1583049600,278.78,268.33,991,86,277.59,280.37,12.9,210,100,500,Rain,light rain,10d
Count: 168,200,2798987,0.042583345,168,1583053200,279.4,268.56,992,81,278.15,280.93,13.4,210,100,500,Rain,light rain,10d
Count: 168,200,2798987,0.042583345,168,1583056800,280.17,271.49,991,87,278.71,281.48,10.8,200,100,301,Drizzle,drizzle,09d
Count: 168,200,2798987,0.042583345,168,1583060400,281.17,273.39,993,87,279.15,282.59,9.8,210,20,801,Clouds,few clouds,02d
Count: 168,200,2798987,0.042583345,168,1583064000,281.67,271.39,992,75,280.93,282.59,12.9,210,100,500,Rain,light rain,10d
Count: 168,200,2798987,0.042583345,168,1583067600,281.62,271.33,992,75,278.71,283.71,12.9,210,96,500,Rain,light rain,10d
Count: 168,200,2798987,0.042583345,168,1583071200,281.37,273.63,991,87,279.15,283.15,9.8,240,100,500,Rain,light rain,10d
Count: 168,200,2798987,0.042583345,168,1583074800,281.35,273.61,991,87,279.15,283.15,9.8,240,100,500,Rain,light rain,10d
Count: 168,200,2798987,0.042583345,168,1583078400,281.21,275.05,990,81,279.82,282.59,7.2,220,100,500,Rain,light rain,10d
Count: 168,200,2798987,0.042583345,168,1583082000,280.75,274.85,990,81,279.82,282.15,6.7,210,100,804,Clouds,overcast clouds,04d
Count: 168,200,2798987,0.042583345,168,1583085600,280.16,274.5,990,81,279.15,281.48,6.2,200,100,804,Clouds,overcast clouds,04n
Count: 168,200,2798987,0.042583345,168,1583089200,279.86,273.79,991,81,278.71,281.15,6.7,220,100,804,Clouds,overcast clouds,04n
Count: 168,200,2798987,0.042583345,168,1583092800,279.45,273.31,991,81,278.15,281.15,6.7,220,71,803,Clouds,broken clouds,04n
Count: 168,200,2798987,0.042583345,168,1583096400,279.06,272.5,991,81,277.59,280.37,7.2,220,71,803,Clouds,broken clouds,04n
Count: 168,200,2798987,0.042583345,168,1583100000,278.62,271.64,991,81,277.59,279.82,7.7,210,71,803,Clouds,broken clouds,04n
Count: 168,200,2798987,0.042583345,168,1583103600,278.17,271.11,991,81,277.04,279.26,7.7,200,36,802,Clouds,scattered clouds,03n
Count: 168,200,2798987,0.042583345,168,1583107200,277.98,270.54,991,81,277.04,279.26,8.2,200,36,802,Clouds,scattered clouds,03n
Count: 168,200,2798987,0.042583345,168,1583110800,277.86,270.54,991,86,277.04,278.71,8.2,190,45,802,Clouds,scattered clouds,03n
Count: 168,200,2798987,0.042583345,168,1583114400,277.87,269.79,990,86,277.04,278.71,9.3,190,100,500,Rain,light rain,10n
Count: 168,200,2798987,0.042583345,168,1583118000,277.92,270.61,989,86,277.04,278.71,8.2,180,100,500,Rain,light rain,10n
Count: 168,200,2798987,0.042583345,168,1583121600,278.08,270.45,989,86,277.15,278.71,8.7,170,100,500,Rain,light rain,10n
Count: 168,200,2798987,0.042583345,168,1583125200,278.29,272.65,988,93,277.59,279.26,6.2,170,100,520,Rain,light intensity shower rain,09n
Count: 168,200,2798987,0.042583345,168,1583128800,278.43,272.82,987,93,277.59,279.26,6.2,130,100,301,Drizzle,drizzle,09n
Count: 168,200,2798987,0.042583345,168,1583132400,278.77,272.87,987,93,278.15,279.26,6.7,170,100,300,Drizzle,light intensity drizzle,09d
Count: 168,200,2798987,0.042583345,168,1583136000,279.1,272.57,987,93,278.15,279.82,7.7,170,100,302,Drizzle,heavy intensity drizzle,09d
Count: 168,200,2798987,0.042583345,168,1583139600,279.48,273.37,987,93,278.71,280.37,7.2,170,100,500,Rain,light rain,10d
Count: 168,200,2798987,0.042583345,168,1583143200,279.94,274.5,986,100,278.71,280.93,6.7,170,100,301,Drizzle,drizzle,09d
Count: 168,200,2798987,0.042583345,168,1583146800,280.28,275.39,986,93,279.26,280.93,5.7,180,100,301,Drizzle,drizzle,09d
