message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2783195,0.013197338,168,1583017200,278.29,267.58,991,80,277.59,279.15,12.9,210,51,301,Drizzle,drizzle,09n
Count: 168,200,2783195,0.013197338,168,1583020800,278.53,267.01,991,75,277.59,279.26,13.9,210,51,803,Clouds,broken clouds,04n
Count: 168,200,2783195,0.013197338,168,1583024400,278.6,271.29,992,70,277.59,279.26,7.7,220,40,802,Clouds,scattered clouds,03n
Count: 168,200,2783195,0.013197338,168,1583028000,278.59,267.08,991,75,277.59,279.26,13.9,200,73,500,Rain,light rain,10n
Count: 168,200,2783195,0.013197338,168,1583031600,278.6,267.1,990,75,277.04,279.82,13.9,210,73,500,Rain,light rain,10n
Count: 168,200,2783195,0.013197338,168,1583035200,278.39,268.99,991,86,276.48,279.82,11.3,220,73,300,Drizzle,light intensity drizzle,09n
Count: 168,200,2783195,0.013197338,168,1583038800,278.5,267.3,991,86,277.04,279.82,13.9,210,87,500,Rain,light rain,10n
Count: 168,200,2783195,0.013197338,168,1583042400,278.55,268.48,990,86,277.15,280.15,12.3,200,87,500,Rain,light rain,10n
Count: 168,200,2783195,0.013197338,168,1583046000,278.57,268.36,991,81,277.04,279.82,12.3,210,87,500,Rain,light rain,10d
Count: 168,200,2783195,0.013197338,168,1583049600,278.72,268.26,991,86,277.59,280.15,12.9,210,100,500,Rain,light rain,10d
Count: 168,200,2783195,0.013197338,168,1583053200,279.32,268.47,992,81,278.15,280.37,13.4,210,100,500,Rain,light rain,10d
Count: 168,200,2783195,0.013197338,168,1583056800,280.32,271.67,991,87,279.15,281.48,10.8,200,100,301,Drizzle,drizzle,09d
Count: 168,200,2783195,0.013197338,168,1583060400,281.22,275.06,992,81,279.26,282.59,7.2,210,100,500,Rain,light rain,10d
Count: 168,200,2783195,0.013197338,168,1583064000,281.66,271.37,992,75,280.93,282.59,12.9,210,100,500,Rain,light rain,10d
Count: 168,200,2783195,0.013197338,168,1583067600,281.91,271.67,992,75,279.26,283.71,12.9,210,96,500,Rain,light rain,10d
Count: 168,200,2783195,0.013197338,168,1583071200,281.47,273.75,991,87,279.15,283.15,9.8,240,100,500,Rain,light rain,10d
Count: 168,200,2783195,0.013197338,168,1583074800,281.63,275.68,991,75,279.26,283.15,6.7,220,100,500,Rain,light rain,10d
Count: 168,200,2783195,0.013197338,168,1583078400,281.28,275.13,990,81,279.82,282.59,7.2,220,100,500,Rain,light rain,10d
Count: 168,200,2783195,0.013197338,168,1583082000,280.75,274.85,990,81,279.82,282.15,6.7,210,100,804,Clouds,overcast clouds,04d
Count: 168,200,2783195,0.013197338,168,1583085600,280.14,274.47,990,81,278.71,281.48,6.2,200,100,804,Clouds,overcast clouds,04n
Count: 168,200,2783195,0.013197338,168,1583089200,279.77,273.69,991,81,278.71,281.15,6.7,220,100,804,Clouds,overcast clouds,04n
