message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2784237,0.036096018,168,1583017200,278.32,267.62,991,80,277.59,279.26,12.9,210,51,301,Drizzle,drizzle,09n
Count: 168,200,2784237,0.036096018,168,1583020800,278.55,267.04,991,75,277.59,279.26,13.9,210,51,803,Clouds,broken clouds,04n
Count: 168,200,2784237,0.036096018,168,1583024400,278.67,271.37,992,70,277.59,279.82,7.7,220,40,802,Clouds,scattered clouds,03n
Count: 168,200,2784237,0.036096018,168,1583028000,278.61,267.11,991,75,277.59,279.26,13.9,200,73,500,Rain,light rain,10n
Count: 168,200,2784237,0.036096018,168,1583031600,278.73,267.25,990,75,277.59,279.82,13.9,210,73,500,Rain,light rain,10n
Count: 168,200,2784237,0.036096018,168,1583035200,278.62,269.27,991,86,277.04,279.82,11.3,220,73,300,Drizzle,light intensity drizzle,09n
Count: 168,200,2784237,0.036096018,168,1583038800,278.64,267.47,991,86,277.15,279.82,13.9,210,87,500,Rain,light rain,10n
Count: 168,200,2784237,0.036096018,168,1583042400,278.67,268.62,990,86,277.15,280.15,12.3,200,87,500,Rain,light rain,10n
Count: 168,200,2784237,0.036096018,168,1583046000,278.7,268.51,991,81,277.15,279.82,12.3,210,87,500,Rain,light rain,10d
Count: 168,200,2784237,0.036096018,168,1583049600,278.8,268.36,991,86,277.59,280.37,12.9,210,100,500,Rain,light rain,10d
Count: 168,200,2784237,0.036096018,168,1583053200,279.47,268.64,992,81,278.15,280.93,13.4,210,100,500,Rain,light rain,10d
Count: 168,200,2784237,0.036096018,168,1583056800,280.34,271.69,991,87,279.15,281.48,10.8,200,100,301,Drizzle,drizzle,09d
Count: 168,200,2784237,0.036096018,168,1583060400,281.16,273.38,993,87,279.15,282.59,9.8,210,20,801,Clouds,few clouds,02d
Count: 168,200,2784237,0.036096018,168,1583064000,281.68,271.4,992,75,280.93,282.59,12.9,210,100,500,Rain,light rain,10d
Count: 168,200,2784237,0.036096018,168,1583067600,281.92,271.68,992,75,279.26,283.71,12.9,210,96,500,Rain,light rain,10d
Count: 168,200,2784237,0.036096018,168,1583071200,281.62,273.94,991,87,279.15,283.15,9.8,240,100,500,Rain,light rain,10d
Count: 168,200,2784237,0.036096018,168,1583074800,281.52,273.81,991,87,279.15,283.15,9.8,240,100,500,Rain,light rain,10d
Count: 168,200,2784237,0.036096018,168,1583078400,281.34,275.2,990,81,279.82,282.59,7.2,220,100,500,Rain,light rain,10d
Count: 168,200,2784237,0.036096018,168,1583082000,280.85,274.97,990,81,279.82,282.15,6.7,210,100,804,Clouds,overcast clouds,04d
Count: 168,200,2784237,0.036096018,168,1583085600,280.24,274.59,990,81,279.15,281.48,6.2,200,100,804,Clouds,overcast clouds,04n
Count: 168,200,2784237,0.036096018,168,1583089200,279.86,273.79,991,81,278.71,281.15,6.7,220,100,804,Clouds,overcast clouds,04n
Count: 168,200,2784237,0.036096018,168,1583092800,279.47,273.33,991,81,278.15,281.15,6.7,220,71,803,Clouds,broken clouds,04n
Count: 168,200,2784237,0.036096018,168,1583096400,279.08,272.52,991,81,277.59,280.37,7.2,220,71,803,Clouds,broken clouds,04n
Count: 168,200,2784237,0.036096018,168,1583100000,278.66,271.68,991,81,277.59,279.82,7.7,210,71,803,Clouds,broken clouds,04n
Count: 168,200,2784237,0.036096018,168,1583103600,278.24,271.19,991,81,277.04,279.26,7.7,200,36,802,Clouds,scattered clouds,03n
Count: 168,200,2784237,0.036096018,168,1583107200,277.93,270.48,991,81,277.04,279.26,8.2,200,36,802,Clouds,scattered clouds,03n
Count: 168,200,2784237,0.036096018,168,1583110800,277.85,270.53,991,86,277.04,278.71,8.2,190,45,802,Clouds,scattered clouds,03n
Count: 168,200,2784237,0.036096018,168,1583114400,277.82,269.73,990,86,277.04,278.71,9.3,190,100,500,Rain,light rain,10n
Count: 168,200,2784237,0.036096018,168,1583118000,277.9,270.59,989,86,277.04,278.71,8.2,180,100,500,Rain,light rain,10n
Count: 168,200,2784237,0.036096018,168,1583121600,278.06,270.43,989,86,277.15,278.71,8.7,170,100,500,Rain,light rain,10n
